"AUN Number","County","IU","District Name","Grade","% Advanced/Proficient Math","% Advanced/Proficient Reading","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
103020603,"Allegheny",3,"ALLEGHENY VALLEY SD    ",11,46.6,63.6,19.3,27.3,27.3,26.1,15.9,47.7,18.2,18.2
103020753,"Allegheny",3,"AVONWORTH SD           ",5,53.4,73.3,17.8,35.6,24.4,22.2,42.2,31.1,14.4,12.2
103020753,"Allegheny",3,"AVONWORTH SD           ",8,72.1,77.5,18.3,53.8,10.6,17.3,31.4,46.1,11.8,10.8
103020753,"Allegheny",3,"AVONWORTH SD           ",11,73.7,85.8,35.2,38.5,14.3,12.1,36.3,49.5,6.6,7.7
103021003,"Allegheny",3,"PINE-RICHLAND SD       ",5,76.9,77.0,40.5,36.4,17.1,5.9,40.7,36.3,17.4,5.6
103021003,"Allegheny",3,"PINE-RICHLAND SD       ",8,74.2,77.8,35.8,38.4,15.3,10.4,34.3,43.5,14.7,7.5
103021003,"Allegheny",3,"PINE-RICHLAND SD       ",11,75.4,75.0,45.6,29.8,14.7,9.9,26.5,48.5,16.2,8.8
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD   ",5,60.0,60.5,29.2,30.8,20.8,19.2,24.6,35.9,19.7,19.7
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD   ",8,71.2,71.5,31.5,39.7,17.5,11.3,31.5,40.0,16.1,12.4
103021102,"Allegheny",3,"BALDWIN-WHITEHALL SD   ",11,68.8,72.2,43.3,25.5,13.9,17.3,32.4,39.8,13.8,14.0
103021252,"Allegheny",3,"BETHEL PARK SD         ",5,71.0,76.2,33.2,37.8,20.3,8.7,41.8,34.4,18.5,5.4
103021252,"Allegheny",3,"BETHEL PARK SD         ",8,72.4,79.3,29.0,43.4,16.6,11.0,30.8,48.5,12.2,8.5
103021252,"Allegheny",3,"BETHEL PARK SD         ",11,74.0,77.6,40.7,33.3,15.4,10.6,27.9,49.7,12.7,9.8
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD   ",5,61.3,66.0,30.2,31.1,27.4,11.3,33.0,33.0,19.8,14.2
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD   ",8,47.0,69.8,9.6,37.4,30.4,22.6,33.6,36.2,21.6,8.6
103021453,"Allegheny",3,"BRENTWOOD BOROUGH SD   ",11,56.0,65.0,24.0,32.0,21.0,23.0,18.0,47.0,20.0,15.0
103021603,"Allegheny",3,"CARLYNTON SD           ",5,58.0,66.4,29.4,28.6,17.6,24.4,29.4,37.0,17.6,16.0
103021603,"Allegheny",3,"CARLYNTON SD           ",8,63.6,69.2,28.0,35.6,21.2,15.2,27.1,42.1,19.5,11.3
103021603,"Allegheny",3,"CARLYNTON SD           ",11,63.4,66.1,26.0,37.4,19.5,17.1,24.2,41.9,17.7,16.1
103021752,"Allegheny",3,"CHARTIERS VALLEY SD    ",5,56.6,52.7,26.2,30.4,22.3,21.2,20.4,32.3,25.8,21.5
103021752,"Allegheny",3,"CHARTIERS VALLEY SD    ",8,58.9,73.4,24.8,34.1,22.6,18.5,40.2,33.2,15.5,11.1
103021752,"Allegheny",3,"CHARTIERS VALLEY SD    ",11,58.8,71.0,22.6,36.2,21.5,19.6,18.9,52.1,17.0,12.1
103021903,"Allegheny",3,"CLAIRTON CITY SD       ",5,26.0,26.0,4.1,21.9,26.0,47.9,4.1,21.9,28.8,45.2
103021903,"Allegheny",3,"CLAIRTON CITY SD       ",8,21.3,29.5,0.0,21.3,32.8,45.9,1.6,27.9,29.5,41.0
103021903,"Allegheny",3,"CLAIRTON CITY SD       ",11,22.4,29.9,7.5,14.9,22.4,55.2,9.0,20.9,32.8,37.3
103022103,"Allegheny",3,"CORNELL SD             ",5,73.8,73.8,38.1,35.7,14.3,11.9,35.7,38.1,11.9,14.3
103022103,"Allegheny",3,"CORNELL SD             ",8,28.3,52.8,1.9,26.4,32.1,39.6,9.4,43.4,34.0,13.2
103022103,"Allegheny",3,"CORNELL SD             ",11,31.8,52.3,9.1,22.7,47.7,20.5,18.2,34.1,18.2,29.5
103022253,"Allegheny",3,"DEER LAKES SD          ",5,69.0,84.8,22.8,46.2,20.3,10.8,48.7,36.1,8.9,6.3
103022253,"Allegheny",3,"DEER LAKES SD          ",8,52.3,75.5,15.5,36.8,30.3,17.4,28.4,47.1,19.4,5.2
103022253,"Allegheny",3,"DEER LAKES SD          ",11,51.2,66.5,27.4,23.8,20.7,28.0,18.9,47.6,17.1,16.5
103022503,"Allegheny",3,"DUQUESNE CITY SD       ",5,8.3,6.7,0.0,8.3,30.0,61.7,0.0,6.7,20.0,73.3
103022503,"Allegheny",3,"DUQUESNE CITY SD       ",8,13.1,24.2,1.6,11.5,23.0,63.9,1.6,22.6,32.3,43.5
103022503,"Allegheny",3,"DUQUESNE CITY SD       ",11,2.3,9.5,0.0,2.3,9.3,88.4,0.0,9.5,26.2,64.3
