"The 2006 District PSSA Writing Scores: % Students at Each Performance Level (Full Academic Year)",,,,,,,,,
"Performance level totals may not add up to 100 due to rounding.",,,,,,,,,
,,,,,,,,,
"AUN","County","IU","District Name","Grade","Number of students","%Advanced Writing","%Proficient Writing","%Basic Writing","%Below Basic Writing"
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD",11,132,5.3,81.1,12.1,1.5
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",5,201,0.5,57.2,41.8,0.5
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",8,267,1.5,62.2,34.5,1.9
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",11,250,18.0,72.8,8.8,0.4
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD",5,337,11.0,57.3,31.8,0.0
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD",8,364,11.3,68.7,19.0,1.1
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD",11,396,30.1,58.8,10.6,0.5
103024102,"ALLEGHENY",3,"GATEWAY SD",5,294,2.0,39.1,57.1,1.7
103024102,"ALLEGHENY",3,"GATEWAY SD",8,363,9.9,57.6,28.9,3.6
103024102,"ALLEGHENY",3,"GATEWAY SD",11,373,31.1,60.3,7.5,1.1
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD",5,243,10.3,63.4,25.9,0.4
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD",8,250,14.4,73.6,11.2,0.8
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD",11,307,34.5,64.2,1.3,0.0
103024753,"ALLEGHENY",3,"HIGHLANDS SD",5,187,5.3,40.6,53.5,0.5
103024753,"ALLEGHENY",3,"HIGHLANDS SD",8,210,6.7,70.0,22.9,0.5
103024753,"ALLEGHENY",3,"HIGHLANDS SD",11,198,16.2,73.2,10.6,0.0
103025002,"ALLEGHENY",3,"KEYSTONE OAKS SD",5,169,1.8,46.2,51.5,0.6
103025002,"ALLEGHENY",3,"KEYSTONE OAKS SD",8,170,0.0,54.1,42.9,2.9
103025002,"ALLEGHENY",3,"KEYSTONE OAKS SD",11,213,7.0,67.1,22.1,3.8
