"The 2006 District PSSA Writing Scores: % Students at Each Performance Level (Full Academic Year)",,,,,,,,,
"Performance level totals may not add up to 100 due to rounding.",,,,,,,,,
,,,,,,,,,
"AUN","County","IU","District Name","Grade","Number of students","%Advanced Writing","%Proficient Writing","%Basic Writing","%Below Basic Writing"
114069103,"BERKS",14,"WILSON SD",8,455,11.4,74.7,12.3,1.5
114069103,"BERKS",14,"WILSON SD",11,425,16.7,75.8,6.4,1.2
114069353,"BERKS",14,"WYOMISSING AREA SD",5,159,11.3,41.5,45.9,1.3
114069353,"BERKS",14,"WYOMISSING AREA SD",8,171,17.0,63.2,16.4,3.5
114069353,"BERKS",14,"WYOMISSING AREA SD",11,136,33.8,58.1,7.4,0.7
108070502,"BLAIR",8,"ALTOONA AREA SD",5,583,2.4,61.7,35.2,0.7
108070502,"BLAIR",8,"ALTOONA AREA SD",8,651,8.3,69.3,20.9,1.5
108070502,"BLAIR",8,"ALTOONA AREA SD",11,570,39.3,55.3,5.4,0.0
108071003,"BLAIR",8,"BELLWOOD-ANTIS SD",5,107,4.7,78.5,15.0,1.9
108071003,"BLAIR",8,"BELLWOOD-ANTIS SD",8,109,16.5,75.2,7.3,0.9
108071003,"BLAIR",8,"BELLWOOD-ANTIS SD",11,112,15.2,73.2,10.7,0.9
108071504,"BLAIR",8,"CLAYSBURG-KIMMEL SD",5,65,0.0,46.2,53.8,0.0
108071504,"BLAIR",8,"CLAYSBURG-KIMMEL SD",8,82,0.0,54.9,37.8,7.3
108071504,"BLAIR",8,"CLAYSBURG-KIMMEL SD",11,68,1.5,63.2,30.9,4.4
108073503,"BLAIR",8,"HOLLIDAYSBURG AREA SD",5,237,2.1,56.1,41.4,0.4
108073503,"BLAIR",8,"HOLLIDAYSBURG AREA SD",8,301,6.0,59.5,30.9,3.7
108073503,"BLAIR",8,"HOLLIDAYSBURG AREA SD",11,323,21.7,70.9,6.8,0.6
108077503,"BLAIR",8,"SPRING COVE SD",5,131,0.8,35.9,61.8,1.5
108077503,"BLAIR",8,"SPRING COVE SD",8,156,1.3,53.8,41.0,3.8
108077503,"BLAIR",8,"SPRING COVE SD",11,163,21.5,67.5,9.2,1.8
108078003,"BLAIR",8,"TYRONE AREA SD",5,130,1.5,51.5,46.9,0.0
108078003,"BLAIR",8,"TYRONE AREA SD",8,160,7.5,81.9,10.0,0.6
108078003,"BLAIR",8,"TYRONE AREA SD",11,138,53.6,44.9,1.4,0.0
108079004,"BLAIR",8,"WILLIAMSBURG COMMUNITY SD",5,40,0.0,45.0,55.0,0.0
108079004,"BLAIR",8,"WILLIAMSBURG COMMUNITY SD",8,44,2.3,59.1,36.4,2.3
108079004,"BLAIR",8,"WILLIAMSBURG COMMUNITY SD",11,39,10.3,69.2,20.5,0.0
117080503,"BRADFORD",17,"ATHENS AREA SD",5,157,3.2,38.2,56.1,2.5
117080503,"BRADFORD",17,"ATHENS AREA SD",8,215,3.3,50.7,43.3,2.8
117080503,"BRADFORD",17,"ATHENS AREA SD",11,165,10.9,75.8,13.3,0.0
117081003,"BRADFORD",17,"CANTON AREA SD",5,84,0.0,35.7,64.3,0.0
117081003,"BRADFORD",17,"CANTON AREA SD",8,96,5.2,52.1,37.5,5.2
117081003,"BRADFORD",17,"CANTON AREA SD",11,95,27.4,68.4,3.2,1.1
117083004,"BRADFORD",17,"NORTHEAST BRADFORD SD",5,70,1.4,50.0,48.6,0.0
117083004,"BRADFORD",17,"NORTHEAST BRADFORD SD",8,66,4.5,68.2,24.2,3.0
117083004,"BRADFORD",17,"NORTHEAST BRADFORD SD",11,64,12.5,62.5,25.0,0.0
117086003,"BRADFORD",17,"SAYRE AREA SD",5,75,1.3,48.0,50.7,0.0
117086003,"BRADFORD",17,"SAYRE AREA SD",8,95,6.3,84.2,8.4,1.1
117086003,"BRADFORD",17,"SAYRE AREA SD",11,76,7.9,75.0,17.1,0.0
117086503,"BRADFORD",17,"TOWANDA AREA SD",5,117,0.0,57.3,41.9,0.9
117086503,"BRADFORD",17,"TOWANDA AREA SD",8,135,0.0,65.9,32.6,1.5
117086503,"BRADFORD",17,"TOWANDA AREA SD",11,137,8.0,72.3,19.0,0.7
117086653,"BRADFORD",17,"TROY AREA SD",5,126,1.6,54.0,42.9,1.6
117086653,"BRADFORD",17,"TROY AREA SD",8,159,3.8,71.7,21.4,3.1
117086653,"BRADFORD",17,"TROY AREA SD",11,129,13.2,76.7,8.5,1.6
117089003,"BRADFORD",17,"WYALUSING AREA SD",5,99,3.0,62.6,34.3,0.0
117089003,"BRADFORD",17,"WYALUSING AREA SD",8,119,2.5,76.5,20.2,0.8
117089003,"BRADFORD",17,"WYALUSING AREA SD",11,111,7.2,73.9,16.2,2.7
122091002,"BUCKS",22,"BENSALEM TOWNSHIP SD",5,448,1.1,58.5,39.5,0.9
122091002,"BUCKS",22,"BENSALEM TOWNSHIP SD",8,455,3.5,60.9,32.3,3.3
122091002,"BUCKS",22,"BENSALEM TOWNSHIP SD",11,437,7.8,77.8,14.2,0.2
122091303,"BUCKS",22,"BRISTOL BOROUGH SD",5,92,1.1,59.8,39.1,0.0
122091303,"BUCKS",22,"BRISTOL BOROUGH SD",8,83,2.4,61.4,36.1,0.0
122091303,"BUCKS",22,"BRISTOL BOROUGH SD",11,66,22.7,68.2,7.6,1.5
122091352,"BUCKS",22,"BRISTOL TOWNSHIP SD",5,460,1.3,40.9,56.5,1.3
122091352,"BUCKS",22,"BRISTOL TOWNSHIP SD",8,501,0.8,53.3,42.7,3.2
122091352,"BUCKS",22,"BRISTOL TOWNSHIP SD",11,444,7.4,68.5,23.0,1.1
122092002,"BUCKS",22,"CENTENNIAL SD",5,446,1.6,59.6,38.8,0.0
122092002,"BUCKS",22,"CENTENNIAL SD",8,523,7.6,75.1,16.4,0.8
122092002,"BUCKS",22,"CENTENNIAL SD",11,458,11.8,76.2,10.5,1.5
122092102,"BUCKS",22,"CENTRAL BUCKS SD",5,"1,514",14.2,69.9,15.9,0.1
122092102,"BUCKS",22,"CENTRAL BUCKS SD",8,"1,499",20.4,74.3,5.0,0.3
122092102,"BUCKS",22,"CENTRAL BUCKS SD",11,"1,509",37.8,59.8,2.3,0.1
122092353,"BUCKS",22,"COUNCIL ROCK SD",5,964,8.8,70.4,20.5,0.2
122092353,"BUCKS",22,"COUNCIL ROCK SD",8,"1,058",8.8,76.5,13.7,1.0
122092353,"BUCKS",22,"COUNCIL ROCK SD",11,"1,026",30.6,63.2,5.9,0.3
122097203,"BUCKS",22,"MORRISVILLE BOROUGH SD",5,72,0.0,23.6,76.4,0.0
122097203,"BUCKS",22,"MORRISVILLE BOROUGH SD",8,80,5.0,66.3,25.0,3.8
122097203,"BUCKS",22,"MORRISVILLE BOROUGH SD",11,51,19.6,66.7,11.8,2.0
122097502,"BUCKS",22,"NESHAMINY SD",5,639,3.9,60.3,35.1,0.8
122097502,"BUCKS",22,"NESHAMINY SD",8,785,3.8,70.6,24.6,1.0
122097502,"BUCKS",22,"NESHAMINY SD",11,746,6.2,80.4,13.0,0.4
122097604,"BUCKS",22,"NEW HOPE-SOLEBURY SD",5,116,11.2,56.9,31.9,0.0
122097604,"BUCKS",22,"NEW HOPE-SOLEBURY SD",8,110,10.9,79.1,10.0,0.0
122097604,"BUCKS",22,"NEW HOPE-SOLEBURY SD",11,92,27.2,66.3,6.5,0.0
122098003,"BUCKS",22,"PALISADES SD",5,157,5.7,68.2,26.1,0.0
122098003,"BUCKS",22,"PALISADES SD",8,164,21.3,68.3,10.4,0.0
122098003,"BUCKS",22,"PALISADES SD",11,175,36.0,60.0,4.0,0.0
122098103,"BUCKS",22,"PENNRIDGE SD",5,539,2.4,64.9,32.5,0.2
122098103,"BUCKS",22,"PENNRIDGE SD",8,618,11.2,72.5,14.9,1.5
122098103,"BUCKS",22,"PENNRIDGE SD",11,563,14.7,75.7,9.6,0.0
122098202,"BUCKS",22,"PENNSBURY SD",5,914,5.5,62.8,31.3,0.4
122098202,"BUCKS",22,"PENNSBURY SD",8,939,11.6,70.1,17.5,0.9
122098202,"BUCKS",22,"PENNSBURY SD",11,773,12.2,68.4,18.6,0.8
122098403,"BUCKS",22,"QUAKERTOWN COMMUNITY SD",5,442,3.2,60.6,36.2,0.0
122098403,"BUCKS",22,"QUAKERTOWN COMMUNITY SD",8,382,5.8,77.0,16.8,0.5
122098403,"BUCKS",22,"QUAKERTOWN COMMUNITY SD",11,416,30.0,61.3,8.7,0.0
104101252,"BUTLER",4,"BUTLER AREA SD",5,628,0.8,50.2,48.9,0.2
104101252,"BUTLER",4,"BUTLER AREA SD",8,633,7.3,72.2,19.0,1.6
104101252,"BUTLER",4,"BUTLER AREA SD",11,661,23.4,70.0,6.4,0.2
104103603,"BUTLER",4,"KARNS CITY AREA SD",5,113,0.0,40.7,59.3,0.0
104103603,"BUTLER",4,"KARNS CITY AREA SD",8,140,5.0,65.7,28.6,0.7
104103603,"BUTLER",4,"KARNS CITY AREA SD",11,112,7.1,68.8,24.1,0.0
104105003,"BUTLER",4,"MARS AREA SD",5,222,2.7,55.0,41.9,0.5
104105003,"BUTLER",4,"MARS AREA SD",8,204,7.4,75.0,16.7,1.0
104105003,"BUTLER",4,"MARS AREA SD",11,225,8.9,74.7,16.0,0.4
104105353,"BUTLER",4,"MONITEAU SD",5,152,0.7,39.5,57.9,2.0
104105353,"BUTLER",4,"MONITEAU SD",8,138,2.9,55.1,36.2,5.8
104105353,"BUTLER",4,"MONITEAU SD",11,132,12.9,64.4,18.2,4.5
104107903,"BUTLER",4,"SENECA VALLEY SD",5,563,2.8,65.7,30.7,0.7
104107903,"BUTLER",4,"SENECA VALLEY SD",8,549,18.0,72.7,8.4,0.9
104107903,"BUTLER",4,"SENECA VALLEY SD",11,548,32.5,60.8,6.4,0.4
104107503,"BUTLER",4,"SLIPPERY ROCK AREA SD",5,190,0.0,53.7,46.3,0.0
104107503,"BUTLER",4,"SLIPPERY ROCK AREA SD",8,197,0.0,68.5,29.9,1.5
104107503,"BUTLER",4,"SLIPPERY ROCK AREA SD",11,204,15.7,71.1,12.7,0.5
104107803,"BUTLER",4,"SOUTH BUTLER COUNTY SD",5,214,1.4,61.2,36.4,0.9
104107803,"BUTLER",4,"SOUTH BUTLER COUNTY SD",8,259,6.9,76.8,15.1,1.2
104107803,"BUTLER",4,"SOUTH BUTLER COUNTY SD",11,231,24.7,66.7,8.2,0.4
108110603,"CAMBRIA",8,"BLACKLICK VALLEY SD",5,59,1.7,62.7,35.6,0.0
108110603,"CAMBRIA",8,"BLACKLICK VALLEY SD",8,65,1.5,83.1,15.4,0.0
108110603,"CAMBRIA",8,"BLACKLICK VALLEY SD",11,54,13.0,83.3,3.7,0.0
108111203,"CAMBRIA",8,"CAMBRIA HEIGHTS SD",5,130,0.8,47.7,51.5,0.0
108111203,"CAMBRIA",8,"CAMBRIA HEIGHTS SD",8,122,3.3,64.8,30.3,1.6
108111203,"CAMBRIA",8,"CAMBRIA HEIGHTS SD",11,122,4.1,88.5,6.6,0.8
108111303,"CAMBRIA",8,"CENTRAL CAMBRIA SD",5,135,0.7,59.3,40.0,0.0
108111303,"CAMBRIA",8,"CENTRAL CAMBRIA SD",8,131,2.3,68.7,26.7,2.3
108111303,"CAMBRIA",8,"CENTRAL CAMBRIA SD",11,158,24.1,70.9,5.1,0.0
108111403,"CAMBRIA",8,"CONEMAUGH VALLEY SD",5,73,1.4,64.4,32.9,1.4
108111403,"CAMBRIA",8,"CONEMAUGH VALLEY SD",8,79,2.5,81.0,15.2,1.3
108111403,"CAMBRIA",8,"CONEMAUGH VALLEY SD",11,76,9.2,88.2,2.6,0.0
108112003,"CAMBRIA",8,"FERNDALE AREA SD",5,68,0.0,58.8,41.2,0.0
108112003,"CAMBRIA",8,"FERNDALE AREA SD",8,62,0.0,58.1,40.3,1.6
108112003,"CAMBRIA",8,"FERNDALE AREA SD",11,55,10.9,81.8,7.3,0.0
108112203,"CAMBRIA",8,"FOREST HILLS SD",5,171,2.3,59.6,38.0,0.0
108112203,"CAMBRIA",8,"FOREST HILLS SD",8,182,7.1,78.6,12.1,2.2
108112203,"CAMBRIA",8,"FOREST HILLS SD",11,188,11.7,71.3,13.8,3.2
108112502,"CAMBRIA",8,"GREATER JOHNSTOWN SD",5,225,0.0,30.2,68.0,1.8
108112502,"CAMBRIA",8,"GREATER JOHNSTOWN SD",8,233,2.1,42.5,47.6,7.7
108112502,"CAMBRIA",8,"GREATER JOHNSTOWN SD",11,214,7.9,70.1,19.2,2.8
108114503,"CAMBRIA",8,"NORTHERN CAMBRIA SD",5,82,2.4,69.5,28.0,0.0
108114503,"CAMBRIA",8,"NORTHERN CAMBRIA SD",8,109,1.8,60.6,36.7,0.9
108114503,"CAMBRIA",8,"NORTHERN CAMBRIA SD",11,97,8.2,71.1,20.6,0.0
108116003,"CAMBRIA",8,"PENN CAMBRIA SD",5,137,0.7,39.4,59.1,0.7
108116003,"CAMBRIA",8,"PENN CAMBRIA SD",8,141,2.1,70.9,27.0,0.0
108116003,"CAMBRIA",8,"PENN CAMBRIA SD",11,142,21.1,68.3,9.2,1.4
108116303,"CAMBRIA",8,"PORTAGE AREA SD",5,63,6.3,54.0,39.7,0.0
108116303,"CAMBRIA",8,"PORTAGE AREA SD",8,74,1.4,51.4,43.2,4.1
108116303,"CAMBRIA",8,"PORTAGE AREA SD",11,89,30.3,53.9,13.5,2.2
108116503,"CAMBRIA",8,"RICHLAND SD",5,90,22.2,63.3,14.4,0.0
108116503,"CAMBRIA",8,"RICHLAND SD",8,137,5.8,73.0,20.4,0.7
108116503,"CAMBRIA",8,"RICHLAND SD",11,120,40.8,53.3,5.8,0.0
108118503,"CAMBRIA",8,"WESTMONT HILLTOP SD",5,114,3.5,69.3,27.2,0.0
108118503,"CAMBRIA",8,"WESTMONT HILLTOP SD",8,116,6.9,78.4,14.7,0.0
108118503,"CAMBRIA",8,"WESTMONT HILLTOP SD",11,152,21.1,67.8,9.9,1.3
109122703,"CAMERON",9,"CAMERON COUNTY SD",5,76,2.6,39.5,55.3,2.6
109122703,"CAMERON",9,"CAMERON COUNTY SD",8,75,2.7,58.7,36.0,2.7
109122703,"CAMERON",9,"CAMERON COUNTY SD",11,65,6.2,58.5,32.3,3.1
121135003,"CARBON",21,"JIM THORPE AREA SD",5,131,0.0,41.2,58.8,0.0
121135003,"CARBON",21,"JIM THORPE AREA SD",8,169,3.0,73.4,21.9,1.8
121135003,"CARBON",21,"JIM THORPE AREA SD",11,112,23.2,71.4,5.4,0.0
121135503,"CARBON",21,"LEHIGHTON AREA SD",5,163,0.0,45.4,53.4,1.2
121135503,"CARBON",21,"LEHIGHTON AREA SD",8,200,7.5,76.5,15.0,1.0
121135503,"CARBON",21,"LEHIGHTON AREA SD",11,182,8.8,73.6,17.6,0.0
121136503,"CARBON",21,"PALMERTON AREA SD",5,146,1.4,69.9,28.8,0.0
121136503,"CARBON",21,"PALMERTON AREA SD",8,160,3.8,68.1,25.6,2.5
121136503,"CARBON",21,"PALMERTON AREA SD",11,129,10.1,80.6,8.5,0.8
121136603,"CARBON",21,"PANTHER VALLEY SD",5,119,0.0,26.9,69.7,3.4
121136603,"CARBON",21,"PANTHER VALLEY SD",8,132,0.8,68.9,28.8,1.5
121136603,"CARBON",21,"PANTHER VALLEY SD",11,102,6.9,75.5,15.7,2.0
121139004,"CARBON",21,"WEATHERLY AREA SD",5,66,3.0,34.8,62.1,0.0
121139004,"CARBON",21,"WEATHERLY AREA SD",8,64,15.6,50.0,31.3,3.1
121139004,"CARBON",21,"WEATHERLY AREA SD",11,59,10.2,69.5,20.3,0.0
110141003,"CENTRE",10,"BALD EAGLE AREA SD",5,148,1.4,53.4,45.3,0.0
110141003,"CENTRE",10,"BALD EAGLE AREA SD",8,168,16.7,71.4,11.3,0.6
110141003,"CENTRE",10,"BALD EAGLE AREA SD",11,185,10.3,68.6,18.9,2.2
110141103,"CENTRE",10,"BELLEFONTE AREA SD",5,230,0.9,46.1,51.7,1.3
110141103,"CENTRE",10,"BELLEFONTE AREA SD",8,259,6.6,70.7,22.4,0.4
110141103,"CENTRE",10,"BELLEFONTE AREA SD",11,246,13.0,78.5,7.7,0.8
110147003,"CENTRE",10,"PENNS VALLEY AREA SD",5,110,5.5,45.5,49.1,0.0
110147003,"CENTRE",10,"PENNS VALLEY AREA SD",8,134,1.5,56.7,40.3,1.5
110147003,"CENTRE",10,"PENNS VALLEY AREA SD",11,142,9.9,77.5,11.3,1.4
110148002,"CENTRE",10,"STATE COLLEGE AREA SD",5,477,2.7,64.2,32.3,0.8
110148002,"CENTRE",10,"STATE COLLEGE AREA SD",8,619,9.7,71.1,17.8,1.5
110148002,"CENTRE",10,"STATE COLLEGE AREA SD",11,654,24.9,67.6,6.6,0.9
124150503,"CHESTER",24,"AVON GROVE SD",5,380,9.2,69.2,21.3,0.3
124150503,"CHESTER",24,"AVON GROVE SD",8,421,8.3,56.1,34.0,1.7
124150503,"CHESTER",24,"AVON GROVE SD",11,387,16.0,67.7,15.2,1.0
124151902,"CHESTER",24,"COATESVILLE AREA SD",5,500,1.2,44.0,54.0,0.8
124151902,"CHESTER",24,"COATESVILLE AREA SD",8,547,2.4,43.1,49.4,5.1
124151902,"CHESTER",24,"COATESVILLE AREA SD",11,508,7.9,70.3,20.5,1.4
124151607,"CHESTER",24,"CTR FOR ARTS AND TECHNOLOGY",11,91,6.6,85.7,5.5,2.2
124152003,"CHESTER",24,"DOWNINGTOWN AREA SD",5,836,4.3,69.3,26.3,0.1
124152003,"CHESTER",24,"DOWNINGTOWN AREA SD",8,900,9.9,70.9,18.4,0.8
124152003,"CHESTER",24,"DOWNINGTOWN AREA SD",11,851,28.4,65.0,6.2,0.4
124153503,"CHESTER",24,"GREAT VALLEY SD",5,325,7.7,76.6,15.1,0.6
124153503,"CHESTER",24,"GREAT VALLEY SD",8,333,17.7,68.2,13.8,0.3
124153503,"CHESTER",24,"GREAT VALLEY SD",11,292,37.0,59.2,3.4,0.3
124154003,"CHESTER",24,"KENNETT CONSOLIDATED SD",5,269,2.2,49.4,48.0,0.4
124154003,"CHESTER",24,"KENNETT CONSOLIDATED SD",8,302,8.3,58.6,27.8,5.3
124154003,"CHESTER",24,"KENNETT CONSOLIDATED SD",11,237,18.6,63.7,14.3,3.4
124156503,"CHESTER",24,"OCTORARA AREA SD",5,193,0.5,61.1,37.3,1.0
124156503,"CHESTER",24,"OCTORARA AREA SD",8,207,7.2,64.7,23.2,4.8
124156503,"CHESTER",24,"OCTORARA AREA SD",11,202,11.4,75.2,12.4,1.0
124156603,"CHESTER",24,"OWEN J ROBERTS SD",5,310,3.5,64.8,31.6,0.0
124156603,"CHESTER",24,"OWEN J ROBERTS SD",8,342,10.2,61.4,26.9,1.5
124156603,"CHESTER",24,"OWEN J ROBERTS SD",11,347,26.2,57.6,15.0,1.2
124156703,"CHESTER",24,"OXFORD AREA SD",5,238,1.3,63.0,34.9,0.8
124156703,"CHESTER",24,"OXFORD AREA SD",8,287,7.0,72.8,18.1,2.1
124156703,"CHESTER",24,"OXFORD AREA SD",11,244,18.9,66.0,14.3,0.8
124157203,"CHESTER",24,"PHOENIXVILLE AREA SD",5,204,3.4,69.1,27.5,0.0
124157203,"CHESTER",24,"PHOENIXVILLE AREA SD",8,281,10.7,66.2,21.7,1.4
124157203,"CHESTER",24,"PHOENIXVILLE AREA SD",11,228,22.4,63.6,11.8,2.2
124157802,"CHESTER",24,"TREDYFFRIN-EASTTOWN SD",5,432,9.0,71.8,19.2,0.0
124157802,"CHESTER",24,"TREDYFFRIN-EASTTOWN SD",8,448,25.7,68.8,5.1,0.4
124157802,"CHESTER",24,"TREDYFFRIN-EASTTOWN SD",11,440,41.8,54.1,3.4,0.7
124158503,"CHESTER",24,"UNIONVILLE-CHADDS FORD SD",5,305,1.6,81.3,17.0,0.0
124158503,"CHESTER",24,"UNIONVILLE-CHADDS FORD SD",8,311,13.8,75.2,10.9,0.0
124158503,"CHESTER",24,"UNIONVILLE-CHADDS FORD SD",11,314,25.2,71.3,3.5,0.0
124159002,"CHESTER",24,"WEST CHESTER AREA SD",5,838,2.6,73.6,23.5,0.2
124159002,"CHESTER",24,"WEST CHESTER AREA SD",8,966,13.5,70.6,15.4,0.5
124159002,"CHESTER",24,"WEST CHESTER AREA SD",11,883,21.7,73.4,4.5,0.3
106160303,"CLARION",6,"ALLEGHENY-CLARION VALLEY SD",5,82,1.2,62.2,35.4,1.2
106160303,"CLARION",6,"ALLEGHENY-CLARION VALLEY SD",8,102,1.0,49.0,41.2,8.8
106160303,"CLARION",6,"ALLEGHENY-CLARION VALLEY SD",11,71,7.0,81.7,11.3,0.0
106161203,"CLARION",6,"CLARION AREA SD",5,76,1.3,46.1,52.6,0.0
106161203,"CLARION",6,"CLARION AREA SD",8,70,8.6,80.0,11.4,0.0
106161203,"CLARION",6,"CLARION AREA SD",11,79,21.5,67.1,10.1,1.3
106161703,"CLARION",6,"CLARION-LIMESTONE AREA SD",5,78,0.0,48.7,51.3,0.0
106161703,"CLARION",6,"CLARION-LIMESTONE AREA SD",8,86,2.3,75.6,22.1,0.0
106161703,"CLARION",6,"CLARION-LIMESTONE AREA SD",11,77,16.9,74.0,7.8,1.3
106166503,"CLARION",6,"KEYSTONE SD",5,80,0.0,38.8,60.0,1.3
106166503,"CLARION",6,"KEYSTONE SD",8,107,3.7,69.2,24.3,2.8
106166503,"CLARION",6,"KEYSTONE SD",11,71,14.1,66.2,16.9,2.8
106167504,"CLARION",6,"NORTH CLARION COUNTY SD",5,36,0.0,44.4,55.6,0.0
106167504,"CLARION",6,"NORTH CLARION COUNTY SD",8,61,4.9,80.3,13.1,1.6
106167504,"CLARION",6,"NORTH CLARION COUNTY SD",11,60,6.7,80.0,11.7,1.7
106168003,"CLARION",6,"REDBANK VALLEY SD",5,105,2.9,66.7,30.5,0.0
106168003,"CLARION",6,"REDBANK VALLEY SD",8,118,12.7,79.7,6.8,0.8
106168003,"CLARION",6,"REDBANK VALLEY SD",11,125,9.6,81.6,8.8,0.0
106169003,"CLARION",6,"UNION  SD",5,61,0.0,27.9,70.5,1.6
106169003,"CLARION",6,"UNION  SD",8,73,4.1,74.0,16.4,5.5
106169003,"CLARION",6,"UNION  SD",11,63,6.3,71.4,22.2,0.0
110171003,"CLEARFIELD",10,"CLEARFIELD AREA SD",5,188,0.0,49.5,50.0,0.5
110171003,"CLEARFIELD",10,"CLEARFIELD AREA SD",8,209,2.4,45.0,48.3,4.3
110171003,"CLEARFIELD",10,"CLEARFIELD AREA SD",11,233,4.3,78.1,16.3,1.3
110171803,"CLEARFIELD",10,"CURWENSVILLE AREA SD",5,122,0.8,43.4,55.7,0.0
110171803,"CLEARFIELD",10,"CURWENSVILLE AREA SD",8,85,8.2,74.1,15.3,2.4
110171803,"CLEARFIELD",10,"CURWENSVILLE AREA SD",11,99,11.1,77.8,7.1,4.0
106172003,"CLEARFIELD",6,"DUBOIS AREA SD",5,321,2.2,56.4,41.1,0.3
106172003,"CLEARFIELD",6,"DUBOIS AREA SD",8,328,4.3,61.9,32.0,1.8
106172003,"CLEARFIELD",6,"DUBOIS AREA SD",11,317,10.1,79.5,10.4,0.0
110173003,"CLEARFIELD",10,"GLENDALE SD",5,60,0.0,26.7,73.3,0.0
110173003,"CLEARFIELD",10,"GLENDALE SD",8,68,0.0,32.4,64.7,2.9
110173003,"CLEARFIELD",10,"GLENDALE SD",11,70,1.4,81.4,17.1,0.0
110173504,"CLEARFIELD",10,"HARMONY AREA SD",5,30,3.3,26.7,70.0,0.0
110173504,"CLEARFIELD",10,"HARMONY AREA SD",8,32,0.0,18.8,71.9,9.4
110173504,"CLEARFIELD",10,"HARMONY AREA SD",11,22,4.5,68.2,27.3,0.0
110175003,"CLEARFIELD",10,"MOSHANNON VALLEY SD",5,62,0.0,66.1,33.9,0.0
110175003,"CLEARFIELD",10,"MOSHANNON VALLEY SD",8,88,0.0,53.4,46.6,0.0
110175003,"CLEARFIELD",10,"MOSHANNON VALLEY SD",11,102,2.0,82.4,11.8,3.9
110177003,"CLEARFIELD",10,"PHILIPSBURG-OSCEOLA AREA SD",5,160,0.6,51.3,48.1,0.0
110177003,"CLEARFIELD",10,"PHILIPSBURG-OSCEOLA AREA SD",8,187,2.7,52.9,41.2,3.2
110177003,"CLEARFIELD",10,"PHILIPSBURG-OSCEOLA AREA SD",11,127,27.6,62.2,8.7,1.6
110179003,"CLEARFIELD",10,"WEST BRANCH AREA SD",5,96,0.0,49.0,50.0,1.0
110179003,"CLEARFIELD",10,"WEST BRANCH AREA SD",8,105,0.0,62.9,35.2,1.9
110179003,"CLEARFIELD",10,"WEST BRANCH AREA SD",11,78,9.0,89.7,1.3,0.0
110183602,"CLINTON",10,"KEYSTONE CENTRAL SD",5,350,1.1,33.1,63.7,2.0
110183602,"CLINTON",10,"KEYSTONE CENTRAL SD",8,361,1.7,57.6,38.5,2.2
110183602,"CLINTON",10,"KEYSTONE CENTRAL SD",11,348,2.9,74.7,20.7,1.7
116191004,"COLUMBIA",16,"BENTON AREA SD",5,64,0.0,53.1,46.9,0.0
116191004,"COLUMBIA",16,"BENTON AREA SD",8,64,0.0,42.2,57.8,0.0
116191004,"COLUMBIA",16,"BENTON AREA SD",11,45,4.4,91.1,4.4,0.0
116191103,"COLUMBIA",16,"BERWICK AREA SD",5,247,0.0,49.8,49.8,0.4
116191103,"COLUMBIA",16,"BERWICK AREA SD",8,302,2.6,69.2,24.5,3.6
116191103,"COLUMBIA",16,"BERWICK AREA SD",11,194,5.7,74.7,16.5,3.1
116191203,"COLUMBIA",16,"BLOOMSBURG AREA SD",5,144,0.7,47.2,52.1,0.0
116191203,"COLUMBIA",16,"BLOOMSBURG AREA SD",8,137,3.6,59.9,34.3,2.2
116191203,"COLUMBIA",16,"BLOOMSBURG AREA SD",11,122,22.1,71.3,5.7,0.8
116191503,"COLUMBIA",16,"CENTRAL COLUMBIA SD",5,168,0.6,47.0,51.2,1.2
116191503,"COLUMBIA",16,"CENTRAL COLUMBIA SD",8,166,7.2,69.3,22.9,0.6
116191503,"COLUMBIA",16,"CENTRAL COLUMBIA SD",11,165,10.9,86.1,3.0,0.0
116195004,"COLUMBIA",16,"MILLVILLE AREA SD",5,47,0.0,59.6,40.4,0.0
116195004,"COLUMBIA",16,"MILLVILLE AREA SD",8,69,2.9,68.1,29.0,0.0
116195004,"COLUMBIA",16,"MILLVILLE AREA SD",11,48,33.3,64.6,2.1,0.0
116197503,"COLUMBIA",16,"SOUTHERN COLUMBIA AREA SD",5,97,1.0,41.2,57.7,0.0
116197503,"COLUMBIA",16,"SOUTHERN COLUMBIA AREA SD",8,113,7.1,64.6,27.4,0.9
116197503,"COLUMBIA",16,"SOUTHERN COLUMBIA AREA SD",11,120,35.0,57.5,7.5,0.0
105201033,"CRAWFORD",5,"CONNEAUT SD",5,190,0.0,32.1,65.8,2.1
105201033,"CRAWFORD",5,"CONNEAUT SD",8,239,0.8,36.4,57.7,5.0
105201033,"CRAWFORD",5,"CONNEAUT SD",11,204,13.7,68.1,16.7,1.5
105201352,"CRAWFORD",5,"CRAWFORD CENTRAL SD",5,266,0.4,36.8,62.0,0.8
105201352,"CRAWFORD",5,"CRAWFORD CENTRAL SD",8,319,3.1,70.5,24.1,2.2
105201352,"CRAWFORD",5,"CRAWFORD CENTRAL SD",11,267,16.1,74.5,9.0,0.4
105204703,"CRAWFORD",5,"PENNCREST SD",5,286,0.3,53.1,45.8,0.7
105204703,"CRAWFORD",5,"PENNCREST SD",8,316,2.2,77.5,19.6,0.6
105204703,"CRAWFORD",5,"PENNCREST SD",11,321,22.1,74.5,3.4,0.0
115210503,"CUMBERLAND",15,"BIG SPRING SD",5,200,2.0,50.5,44.5,3.0
