,The 2012 PSSA Writing - District Proficiency Results  by Grade Level*,,,,,,,,,
,*Full Academic Year Students; No PASA/PSSA-M Scores. Percentages were rounded to the nearest one-tenth. Proficiency percentages may not add up to 100 due to rounding.,,,,,,,,,
,,,,,,,,,,
AUN,County,IU Number,District,Grade,Group,Number Scored Writing,% Advanced Writing,% Proficient Writing,% Basic Writing,% Below Basic Writing
103022803,Allegheny,3,EAST ALLEGHENY SD,11,All Students,125,1.6,80.8,14.4,3.2
103023153,Allegheny,3,ELIZABETH FORWARD SD,5,All Students,167,4.2,80.2,15.6,0.0
103023153,Allegheny,3,ELIZABETH FORWARD SD,8,All Students,197,6.1,66.5,23.4,4.1
103023153,Allegheny,3,ELIZABETH FORWARD SD,11,All Students,211,17.1,70.1,10.0,2.8
103023912,Allegheny,3,FOX CHAPEL AREA SD,5,All Students,328,9.5,79.6,10.7,0.3
103023912,Allegheny,3,FOX CHAPEL AREA SD,8,All Students,354,16.4,72.3,10.7,0.6
103023912,Allegheny,3,FOX CHAPEL AREA SD,11,All Students,331,34.1,61.6,3.9,0.3
103024102,Allegheny,3,GATEWAY SD,5,All Students,254,2.4,62.2,33.5,2.0
103024102,Allegheny,3,GATEWAY SD,8,All Students,299,16.1,68.2,12.0,3.7
103024102,Allegheny,3,GATEWAY SD,11,All Students,322,16.8,73.0,8.4,1.9
103024603,Allegheny,3,HAMPTON TOWNSHIP SD,5,All Students,225,3.6,85.8,10.7,0.0
103024603,Allegheny,3,HAMPTON TOWNSHIP SD,8,All Students,233,12.0,77.7,9.9,0.4
103024603,Allegheny,3,HAMPTON TOWNSHIP SD,11,All Students,276,36.6,62.3,1.1,0.0
103024753,Allegheny,3,HIGHLANDS SD,5,All Students,188,3.7,62.2,33.0,1.1
103024753,Allegheny,3,HIGHLANDS SD,8,All Students,191,7.9,58.1,28.3,5.8
103024753,Allegheny,3,HIGHLANDS SD,11,All Students,164,5.5,76.8,16.5,1.2
103025002,Allegheny,3,KEYSTONE OAKS SD,5,All Students,135,0.7,80.7,17.8,0.7
103025002,Allegheny,3,KEYSTONE OAKS SD,8,All Students,160,14.4,65.6,18.1,1.9
103025002,Allegheny,3,KEYSTONE OAKS SD,11,All Students,166,19.9,60.2,18.1,1.8
103026002,Allegheny,3,MCKEESPORT AREA SD,5,All Students,242,0.0,43.0,47.5,9.5
103026002,Allegheny,3,MCKEESPORT AREA SD,8,All Students,273,1.5,27.8,63.7,7.0
103026002,Allegheny,3,MCKEESPORT AREA SD,11,All Students,213,3.3,64.8,28.6,3.3
103026303,Allegheny,3,MONTOUR SD,5,All Students,191,0.5,80.6,18.3,0.5
103026303,Allegheny,3,MONTOUR SD,8,All Students,208,14.4,79.3,5.8,0.5
103026303,Allegheny,3,MONTOUR SD,11,All Students,256,27.7,66.0,5.1,1.2
103026343,Allegheny,3,MOON AREA SD,5,All Students,287,2.8,73.9,23.0,0.3
103026343,Allegheny,3,MOON AREA SD,8,All Students,315,14.3,75.2,9.8,0.6
103026343,Allegheny,3,MOON AREA SD,11,All Students,286,31.8,64.7,3.1,0.3
103026402,Allegheny,3,MT LEBANON SD,5,All Students,401,6.2,82.8,10.5,0.5
103026402,Allegheny,3,MT LEBANON SD,8,All Students,370,36.8,55.9,6.8,0.5
103026402,Allegheny,3,MT LEBANON SD,11,All Students,440,48.4,50.5,0.9,0.2
103026852,Allegheny,3,NORTH ALLEGHENY SD,5,All Students,620,6.1,86.6,7.3,0.0
103026852,Allegheny,3,NORTH ALLEGHENY SD,8,All Students,655,31.8,63.8,4.4,0.0
103026852,Allegheny,3,NORTH ALLEGHENY SD,11,All Students,628,38.2,60.2,1.6,0.0
103026902,Allegheny,3,NORTH HILLS SD,5,All Students,300,3.3,81.0,15.3,0.3
103026902,Allegheny,3,NORTH HILLS SD,8,All Students,318,5.7,78.9,14.2,1.3
103026902,Allegheny,3,NORTH HILLS SD,11,All Students,320,22.5,70.3,6.3,0.9
103026873,Allegheny,3,NORTHGATE SD,5,All Students,95,1.1,85.3,13.7,0.0
103026873,Allegheny,3,NORTHGATE SD,8,All Students,86,3.5,58.1,33.7,4.7
103026873,Allegheny,3,NORTHGATE SD,11,All Students,85,17.6,67.1,12.9,2.4
103027352,Allegheny,3,PENN HILLS SD,5,All Students,271,0.7,47.2,51.3,0.7
103027352,Allegheny,3,PENN HILLS SD,8,All Students,325,2.2,37.2,53.2,7.4
103027352,Allegheny,3,PENN HILLS SD,11,All Students,303,6.3,70.6,21.1,2.0
103021003,Allegheny,3,PINE-RICHLAND SD,5,All Students,377,1.1,75.6,23.3,0.0
103021003,Allegheny,3,PINE-RICHLAND SD,8,All Students,352,26.4,67.0,5.7,0.9
103021003,Allegheny,3,PINE-RICHLAND SD,11,All Students,369,12.5,81.6,6.0,0.0
102027451,Allegheny,2,PITTSBURGH SD,5,All Students,1793,0.9,47.0,48.5,3.6
102027451,Allegheny,2,PITTSBURGH SD,8,All Students,1792,6.0,52.6,35.4,6.0
102027451,Allegheny,2,PITTSBURGH SD,11,All Students,1479,11.4,67.2,18.1,3.4
103027503,Allegheny,3,PLUM BOROUGH SD,5,All Students,292,0.0,78.8,20.5,0.7
103027503,Allegheny,3,PLUM BOROUGH SD,8,All Students,306,5.9,80.7,12.1,1.3
103027503,Allegheny,3,PLUM BOROUGH SD,11,All Students,322,13.0,79.8,6.5,0.6
103027753,Allegheny,3,QUAKER VALLEY SD,5,All Students,161,0.0,73.3,26.7,0.0
103027753,Allegheny,3,QUAKER VALLEY SD,8,All Students,132,15.2,71.2,13.6,0.0
103027753,Allegheny,3,QUAKER VALLEY SD,11,All Students,133,36.1,58.6,5.3,0.0
103028203,Allegheny,3,RIVERVIEW SD,5,All Students,66,1.5,65.2,31.8,1.5
103028203,Allegheny,3,RIVERVIEW SD,8,All Students,75,14.7,57.3,24.0,4.0
103028203,Allegheny,3,RIVERVIEW SD,11,All Students,70,18.6,77.1,2.9,1.4
103028302,Allegheny,3,SHALER AREA SD,5,All Students,328,0.6,66.2,32.3,0.9
103028302,Allegheny,3,SHALER AREA SD,8,All Students,372,8.3,77.2,13.7,0.8
103028302,Allegheny,3,SHALER AREA SD,11,All Students,342,7.9,76.9,13.2,2.0
103028653,Allegheny,3,SOUTH ALLEGHENY SD,5,All Students,124,2.4,82.3,15.3,0.0
103028653,Allegheny,3,SOUTH ALLEGHENY SD,8,All Students,121,16.5,69.4,13.2,0.8
103028653,Allegheny,3,SOUTH ALLEGHENY SD,11,All Students,118,12.7,71.2,11.9,4.2
103028703,Allegheny,3,SOUTH FAYETTE TOWNSHIP SD,5,All Students,194,5.7,83.5,10.8,0.0
103028703,Allegheny,3,SOUTH FAYETTE TOWNSHIP SD,8,All Students,194,34.0,62.4,3.6,0.0
103028703,Allegheny,3,SOUTH FAYETTE TOWNSHIP SD,11,All Students,168,25.6,65.5,6.5,2.4
103028753,Allegheny,3,SOUTH PARK SD,5,All Students,142,0.7,72.5,26.1,0.7
103028753,Allegheny,3,SOUTH PARK SD,8,All Students,153,3.3,79.7,17.0,0.0
103028753,Allegheny,3,SOUTH PARK SD,11,All Students,195,21.5,71.8,6.2,0.5
