"AUN Number","County","IU","District Name","Grade","% Advanced/Proficient Math","% Advanced/Proficient Reading","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD","05",51.6,67.3,21.3,30.3,18.7,29.7,41.0,26.3,16.0,16.7
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD","08",56.6,69.9,16.8,39.8,26.5,16.8,26.0,43.9,15.3,14.8
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD","11",51.5,62.9,23.5,28.0,21.2,27.3,36.4,26.5,15.9,21.2
112011603,"ADAMS",12,"CONEWAGO VALLEY SD","05",59.8,56.9,30.3,29.5,20.8,19.3,25.8,31.1,25.8,17.4
112011603,"ADAMS",12,"CONEWAGO VALLEY SD","08",63.6,63.3,24.8,38.8,16.9,19.5,24.7,38.6,18.5,18.2
112011603,"ADAMS",12,"CONEWAGO VALLEY SD","11",50.5,64.6,21.1,29.4,19.2,30.2,20.3,44.3,18.1,17.3
112013054,"ADAMS",12,"FAIRFIELD AREA SD","05",56.2,56.2,29.2,27.0,29.2,14.6,24.7,31.5,29.2,14.6
112013054,"ADAMS",12,"FAIRFIELD AREA SD","08",53.5,66.7,15.8,37.7,33.3,13.2,23.7,43.0,21.1,12.3
112013054,"ADAMS",12,"FAIRFIELD AREA SD","11",40.0,50.9,12.7,27.3,19.1,40.9,20.0,30.9,17.3,31.8
112013753,"ADAMS",12,"GETTYSBURG AREA SD","05",49.1,54.8,23.8,25.3,23.8,27.2,27.6,27.2,22.2,23.0
112013753,"ADAMS",12,"GETTYSBURG AREA SD","08",56.9,68.1,22.4,34.5,24.1,19.0,32.5,35.6,20.1,11.8
112013753,"ADAMS",12,"GETTYSBURG AREA SD","11",53.1,66.7,27.1,26.0,19.0,27.9,32.6,34.1,17.0,16.3
112015203,"ADAMS",12,"LITTLESTOWN AREA SD","05",58.3,70.1,37.4,20.9,23.0,18.7,41.2,28.9,20.3,9.6
112015203,"ADAMS",12,"LITTLESTOWN AREA SD","08",61.5,74.6,18.7,42.8,19.3,19.3,37.6,37.0,13.9,11.5
112015203,"ADAMS",12,"LITTLESTOWN AREA SD","11",49.1,63.9,16.4,32.7,26.1,24.8,22.3,41.6,20.5,15.7
112018523,"ADAMS",12,"UPPER ADAMS SD","05",72.2,59.1,38.2,34.0,13.2,14.6,31.3,27.8,22.2,18.8
112018523,"ADAMS",12,"UPPER ADAMS SD","08",60.7,67.5,20.0,40.7,24.1,15.2,24.1,43.4,14.5,17.9
112018523,"ADAMS",12,"UPPER ADAMS SD","11",50.8,59.8,25.8,25.0,23.5,25.8,21.2,38.6,17.4,22.7
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD","05",50.0,72.2,23.3,26.7,33.3,16.7,43.3,28.9,14.4,13.3
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD","08",53.6,71.0,14.5,39.1,24.5,21.8,35.5,35.5,19.1,10.0
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD","11",46.5,60.6,31.3,15.2,21.2,32.3,22.2,38.4,21.2,18.2
103020753,"ALLEGHENY",3,"AVONWORTH SD","05",82.7,77.6,53.1,29.6,12.2,5.1,48.0,29.6,14.3,8.2
103020753,"ALLEGHENY",3,"AVONWORTH SD","08",70.1,72.1,23.7,46.4,14.4,15.5,38.1,34.0,13.4,14.4
103020753,"ALLEGHENY",3,"AVONWORTH SD","11",62.8,74.6,39.7,23.1,10.7,26.4,36.9,37.7,13.9,11.5
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD","05",68.3,62.9,43.9,24.4,15.0,16.7,29.2,33.7,18.4,18.8
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD","08",78.2,80.2,42.1,36.1,12.1,9.6,40.4,39.8,11.8,8.0
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD","11",62.3,70.3,39.5,22.8,16.3,21.4,32.4,37.9,14.7,14.9
103021252,"ALLEGHENY",3,"BETHEL PARK SD","05",81.1,80.8,54.4,26.7,13.3,5.6,46.5,34.3,14.1,5.1
103021252,"ALLEGHENY",3,"BETHEL PARK SD","08",79.6,85.9,39.6,40.0,13.3,7.0,47.6,38.3,7.3,6.8
103021252,"ALLEGHENY",3,"BETHEL PARK SD","11",74.5,83.5,40.5,34.0,13.4,12.1,44.5,39.0,9.1,7.4
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD","05",73.3,76.7,44.2,29.1,19.8,7.0,43.0,33.7,17.4,5.8
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD","08",63.6,76.3,20.9,42.7,18.2,18.2,41.8,34.5,11.8,11.8
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD","11",68.6,77.6,31.4,37.2,18.2,13.2,38.8,38.8,10.7,11.6
103021603,"ALLEGHENY",3,"CARLYNTON SD","05",49.0,64.6,27.1,21.9,24.0,27.1,29.2,35.4,21.9,13.5
103021603,"ALLEGHENY",3,"CARLYNTON SD","08",68.9,73.6,28.3,40.6,20.8,10.4,32.1,41.5,17.0,9.4
103021603,"ALLEGHENY",3,"CARLYNTON SD","11",67.4,71.3,36.4,31.0,17.8,14.7,27.1,44.2,14.7,14.0
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD","05",69.7,64.9,42.2,27.5,20.5,9.8,30.6,34.3,22.0,13.1
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD","08",66.2,83.6,27.2,39.0,19.9,13.9,45.8,37.8,11.1,5.2
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD","11",57.5,71.4,29.9,27.6,15.3,27.2,32.7,38.7,14.9,13.8
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD","05",17.2,24.1,4.6,12.6,23.0,59.8,8.0,16.1,27.6,48.3
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD","08",30.0,38.5,2.9,27.1,27.1,42.9,11.4,27.1,30.0,31.4
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD","11",21.2,31.8,1.5,19.7,24.2,54.5,4.5,27.3,33.3,34.8
103022103,"ALLEGHENY",3,"CORNELL SD","05",61.9,61.9,36.5,25.4,17.5,20.6,33.3,28.6,20.6,17.5
103022103,"ALLEGHENY",3,"CORNELL SD","08",32.2,72.6,4.8,27.4,43.5,24.2,27.4,45.2,17.7,9.7
103022103,"ALLEGHENY",3,"CORNELL SD","11",35.6,42.3,17.8,17.8,26.7,37.8,6.7,35.6,24.4,33.3
103022253,"ALLEGHENY",3,"DEER LAKES SD","05",65.2,80.1,31.7,33.5,21.7,13.0,47.8,32.3,11.2,8.7
103022253,"ALLEGHENY",3,"DEER LAKES SD","08",54.7,76.4,14.9,39.8,24.2,21.1,24.2,52.2,12.4,11.2
103022253,"ALLEGHENY",3,"DEER LAKES SD","11",49.1,63.1,20.8,28.3,22.0,28.9,22.5,40.6,19.4,17.5
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD","05",22.8,8.8,3.5,19.3,31.6,45.6,3.5,5.3,33.3,57.9
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD","08",13.8,37.9,1.7,12.1,19.0,67.2,10.3,27.6,29.3,32.8
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD","11",2.6,2.6,0.0,2.6,7.7,89.7,0.0,2.6,28.2,69.2
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD","05",75.0,78.2,44.5,30.5,14.8,10.2,47.7,30.5,15.6,6.3
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD","08",46.7,59.9,10.9,35.8,23.4,29.9,23.4,36.5,16.8,23.4
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD","11",38.1,50.4,15.1,23.0,21.6,40.3,13.5,36.9,17.0,32.6
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD","05",65.1,71.9,35.8,29.3,22.0,12.9,40.9,31.0,16.8,11.2
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD","08",55.9,79.1,12.1,43.8,25.4,18.8,32.9,46.2,12.0,8.9
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD","11",55.5,69.2,22.0,33.5,18.1,26.4,32.6,36.6,17.2,13.7
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD","05",82.8,84.4,60.2,22.6,10.3,6.9,61.9,22.5,10.3,5.3
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD","08",85.3,90.4,54.8,30.5,8.2,6.5,57.6,32.8,7.1,2.5
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD","11",67.0,81.5,43.4,23.6,17.1,15.9,45.6,35.9,10.3,8.2
103024102,"ALLEGHENY",3,"GATEWAY SD","05",63.0,62.2,33.0,30.0,17.5,19.5,29.4,32.8,23.0,14.9
103024102,"ALLEGHENY",3,"GATEWAY SD","08",59.5,68.4,26.5,33.0,18.2,22.3,32.4,36.0,14.5,17.0
103024102,"ALLEGHENY",3,"GATEWAY SD","11",62.6,70.6,31.3,31.3,18.5,18.8,31.6,39.0,16.6,12.8
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD","05",86.7,81.1,66.5,20.2,8.6,4.7,57.5,23.6,15.0,3.9
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD","08",78.6,89.4,39.1,39.5,11.9,9.5,65.2,24.2,5.7,4.9
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD","11",78.0,86.9,55.2,22.8,13.1,8.9,49.4,37.5,8.1,5.0
103024753,"ALLEGHENY",3,"HIGHLANDS SD","05",64.5,72.6,34.5,30.0,19.3,16.1,42.6,30.0,17.9,9.4
103024753,"ALLEGHENY",3,"HIGHLANDS SD","08",60.2,67.7,21.8,38.4,21.4,18.3,28.4,39.3,14.4,17.9
103024753,"ALLEGHENY",3,"HIGHLANDS SD","11",58.9,64.1,27.8,31.1,23.0,18.2,22.0,42.1,21.1,14.8
103025002,"ALLEGHENY",3,"KEYSTONE OAKS SD","05",74.2,77.5,41.2,33.0,20.3,5.5,41.8,35.7,17.0,5.5
