"The 2007 PSSA Writing District Level Proficiency Results by Grade and District Total (Full Academic Year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Groups that have less than 10 students assessed are noted by an asterisk (*). Performance level totals may not add up to 100 due to rounding. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"District total may include data from those grades that are represented by an asterisk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUN","County","IU Number","District Name","Grade","Number scored Writing","Writing Advanced","Writing Proficient","Writing Basic","Writing Below Basic","Number scored Writing                IEP","Writing Advanced IEP","Writing Proficient IEP","Writing Basic              IEP","Writing Below Basic             IEP","Number scored Writing                ELL","Writing Advanced ELL","Writing Proficient ELL","Writing Basic             ELL","Writing Below Basic              ELL","Number scored Writing Title I","Writing Advanced Title I","Writing Proficient Title I","Writing Basic             Title I","Writing Below Basic            Title I","Number scored Writing Migrant","Writing Advanced Migrant","Writing Proficient Migrant","Writing Basic Migrant","Writing Below Basic Migrant","Number scored Writing Econ. Disadv.","Writing Advanced Econ. Disadv.","Writing Proficient Econ. Disadv.","Writing Basic Econ. Disadv.","Writing Below Basic Econ. Disadv.","Number scored Writing Male","Writing Advanced Male","Writing Proficient Male","Writing Basic              Male","Writing Below Basic             Male","Number scored Writing Female","Writing Advanced Female","Writing Proficient Female","Writing Basic Female","Writing Below Basic Female","Number scored Writing Title III","Writing Advanced Title III","Writing Proficient Title III","Writing Basic                 Title III","Writing Below Basic             Title III","Number scored Writing  White","Writing Advanced  White","Writing Proficient  White","Writing Basic  White","Writing Below Basic  White","Number scored Writing  Black","Writing Advanced  Black","Writing Proficient  Black","Writing Basic  Black","Writing Below Basic  Black","Number scored Writing  Hispanic","Writing Advanced  Hispanic","Writing Proficient  Hispanic","Writing Basic  Hispanic","Writing Below Basic  Hispanic","Number scored Writing  Asian","Writing Advanced  Asian","Writing Proficient  Asian","Writing Basic  Asian","Writing Below Basic  Asian","Number scored Writing  Native American","Writing Advanced  Native American","Writing Proficient  Native American","Writing Basic  Native American","Writing Below Basic  Native American","Number scored Writing  Multi-ethnic","Writing Advanced  Multi-ethnic","Writing Proficient  Multi-ethnic","Writing Basic  Multi-ethnic","Writing Below Basic  Multi-ethnic"
112013054,"Adams                           ",12,"FAIRFIELD AREA SD",11,110,2.7,84.5,11.8,0.9,9,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",8,"*","*","*","*",71,2.8,78.9,16.9,1.4,39,2.6,94.9,2.6,0.0,0,"*","*","*","*",110,2.7,84.5,11.8,0.9,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112013054,"Adams                           ",12,"FAIRFIELD AREA SD","District Total",309,2.9,66.0,30.7,0.3,26,0.0,38.5,57.7,3.8,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",33,3.0,60.6,36.4,0.0,171,2.3,57.3,39.8,0.6,138,3.6,76.8,19.6,0.0,0,"*","*","*","*",306,2.6,66.0,31.0,0.3,0,"*","*","*","*",2,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112013753,"Adams                           ",12,"GETTYSBURG AREA SD",5,227,0.4,56.8,42.7,0.0,36,0.0,22.2,77.8,0.0,11,0.0,0.0,100.0,0.0,0,"*","*","*","*",11,0.0,36.4,63.6,0.0,82,0.0,41.5,58.5,0.0,122,0.0,48.4,51.6,0.0,105,1.0,66.7,32.4,0.0,0,"*","*","*","*",186,0.5,61.8,37.6,0.0,14,0.0,57.1,42.9,0.0,26,0.0,19.2,80.8,0.0,1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112013753,"Adams                           ",12,"GETTYSBURG AREA SD",8,259,20.1,57.1,21.2,1.5,30,0.0,36.7,60.0,3.3,6,"*","*","*","*",0,"*","*","*","*",4,"*","*","*","*",85,8.2,56.5,31.8,3.5,133,12.0,56.4,29.3,2.3,126,28.6,57.9,12.7,0.8,6,"*","*","*","*",212,24.1,57.1,17.9,0.9,19,0.0,73.7,26.3,0.0,25,4.0,44.0,44.0,8.0,3,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112013753,"Adams                           ",12,"GETTYSBURG AREA SD",11,284,3.2,82.4,13.7,0.7,39,0.0,48.7,48.7,2.6,6,"*","*","*","*",0,"*","*","*","*",4,"*","*","*","*",59,1.7,72.9,22.0,3.4,154,1.9,76.6,20.1,1.3,130,4.6,89.2,6.2,0.0,0,"*","*","*","*",238,3.4,84.5,12.2,0.0,13,0.0,76.9,23.1,0.0,25,4.0,64.0,24.0,8.0,6,"*","*","*","*",2,"*","*","*","*",0,"*","*","*","*"
112013753,"Adams                           ",12,"GETTYSBURG AREA SD","District Total",770,8.1,66.4,24.8,0.8,105,0.0,36.2,61.9,1.9,23,0.0,17.4,69.6,13.0,0,"*","*","*","*",19,5.3,36.8,47.4,10.5,226,3.5,55.3,38.9,2.2,409,4.6,61.6,32.5,1.2,361,11.9,71.7,16.1,0.3,6,"*","*","*","*",636,9.4,68.7,21.5,0.3,46,0.0,69.6,30.4,0.0,76,2.6,42.1,50.0,5.3,10,0.0,90.0,10.0,0.0,2,"*","*","*","*",0,"*","*","*","*"
112015203,"Adams                           ",12,"LITTLESTOWN AREA SD",5,155,0.0,39.4,59.4,1.3,17,0.0,17.6,76.5,5.9,1,"*","*","*","*",40,0.0,15.0,80.0,5.0,0,"*","*","*","*",31,0.0,25.8,71.0,3.2,88,0.0,31.8,65.9,2.3,67,0.0,49.3,50.7,0.0,1,"*","*","*","*",143,0.0,39.2,59.4,1.4,8,"*","*","*","*",3,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112015203,"Adams                           ",12,"LITTLESTOWN AREA SD",8,187,2.1,73.8,23.5,0.5,20,0.0,40.0,55.0,5.0,1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",42,0.0,61.9,38.1,0.0,100,0.0,69.0,30.0,1.0,87,4.6,79.3,16.1,0.0,1,"*","*","*","*",177,2.3,74.6,22.6,0.6,7,"*","*","*","*",1,"*","*","*","*",2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112015203,"Adams                           ",12,"LITTLESTOWN AREA SD",11,143,2.1,83.9,13.3,0.7,22,0.0,31.8,63.6,4.5,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",24,0.0,66.7,33.3,0.0,65,1.5,75.4,23.1,0.0,78,2.6,91.0,5.1,1.3,0,"*","*","*","*",138,2.2,84.8,12.3,0.7,3,"*","*","*","*",2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112015203,"Adams                           ",12,"LITTLESTOWN AREA SD","District Total",485,1.4,65.8,32.0,0.8,59,0.0,30.5,64.4,5.1,2,"*","*","*","*",40,0.0,15.0,80.0,5.0,0,"*","*","*","*",97,0.0,51.5,47.4,1.0,253,0.4,57.7,40.7,1.2,232,2.6,74.6,22.4,0.4,2,"*","*","*","*",458,1.5,66.6,31.0,0.9,18,0.0,50.0,50.0,0.0,6,"*","*","*","*",3,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
