,The 2012 PSSA Mathematics and Reading - District Proficiency Results by Grade Level*,,,,,,,,,,,,,,
,*Full Academic Year Students; No PASA/PSSA-M Scores. Data for groups with 10 or fewer students were replaced by blanks. Percentages were rounded to the nearest one-tenth. Proficiency percentages may not add up to 100 due to rounding.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AUN,County,IU Number,District,Grade,Group,Number Scored Math,% Advanced Math,% Proficient Math,% Basic Math,% Below Basic Math,Number Scored Reading,% Advanced Reading,% Proficient Reading,% Basic Reading,% Below Basic Reading
112018523,Adams,12,UPPER ADAMS SD,5,All Students,115,46.1,33.0,18.3,2.6,112,16.1,42.0,31.3,10.7
112018523,Adams,12,UPPER ADAMS SD,6,All Students,103,62.1,26.2,7.8,3.9,103,39.8,37.9,15.5,6.8
112018523,Adams,12,UPPER ADAMS SD,7,All Students,107,69.2,17.8,7.5,5.6,108,49.1,31.5,17.6,1.9
112018523,Adams,12,UPPER ADAMS SD,8,All Students,122,74.6,20.5,4.1,0.8,122,39.3,41.8,11.5,7.4
112018523,Adams,12,UPPER ADAMS SD,11,All Students,114,25.4,35.1,27.2,12.3,116,18.1,53.4,21.6,6.9
103020603,Allegheny,3,ALLEGHENY VALLEY SD,3,All Students,78,48.7,38.5,11.5,1.3,78,33.3,46.2,10.3,10.3
103020603,Allegheny,3,ALLEGHENY VALLEY SD,4,All Students,60,60.0,35.0,3.3,1.7,60,40.0,43.3,10.0,6.7
103020603,Allegheny,3,ALLEGHENY VALLEY SD,5,All Students,60,56.7,26.7,13.3,3.3,61,36.1,39.3,18.0,6.6
103020603,Allegheny,3,ALLEGHENY VALLEY SD,6,All Students,78,64.1,25.6,7.7,2.6,75,50.7,34.7,9.3,5.3
103020603,Allegheny,3,ALLEGHENY VALLEY SD,7,All Students,73,58.9,19.2,16.4,5.5,72,38.9,40.3,12.5,8.3
103020603,Allegheny,3,ALLEGHENY VALLEY SD,8,All Students,73,52.1,23.3,15.1,9.6,73,57.5,17.8,19.2,5.5
103020603,Allegheny,3,ALLEGHENY VALLEY SD,11,All Students,82,35.4,29.3,15.9,19.5,82,43.9,42.7,9.8,3.7
103020753,Allegheny,3,AVONWORTH SD,3,All Students,129,59.7,35.7,3.9,0.8,129,48.8,44.2,3.9,3.1
103020753,Allegheny,3,AVONWORTH SD,4,All Students,108,58.3,29.6,8.3,3.7,108,38.9,47.2,8.3,5.6
103020753,Allegheny,3,AVONWORTH SD,5,All Students,127,57.5,29.1,10.2,3.1,126,33.3,47.6,14.3,4.8
103020753,Allegheny,3,AVONWORTH SD,6,All Students,101,51.5,26.7,14.9,6.9,100,53.0,31.0,12.0,4.0
103020753,Allegheny,3,AVONWORTH SD,7,All Students,119,59.7,26.9,9.2,4.2,120,55.0,33.3,7.5,4.2
103020753,Allegheny,3,AVONWORTH SD,8,All Students,91,65.9,18.7,9.9,5.5,90,72.2,13.3,11.1,3.3
103020753,Allegheny,3,AVONWORTH SD,11,All Students,92,35.9,35.9,18.5,9.8,91,38.5,39.6,14.3,7.7
103021102,Allegheny,3,BALDWIN-WHITEHALL SD,3,All Students,315,47.3,39.4,10.2,3.2,315,27.0,49.8,9.5,13.7
103021102,Allegheny,3,BALDWIN-WHITEHALL SD,4,All Students,289,52.6,36.7,8.3,2.4,290,32.8,45.2,14.1,7.9
103021102,Allegheny,3,BALDWIN-WHITEHALL SD,5,All Students,276,59.8,25.0,8.7,6.5,274,28.5,42.3,18.6,10.6
103021102,Allegheny,3,BALDWIN-WHITEHALL SD,6,All Students,245,67.3,23.7,5.3,3.7,246,34.6,32.9,19.1,13.4
103021102,Allegheny,3,BALDWIN-WHITEHALL SD,7,All Students,282,56.4,28.0,11.7,3.9,280,38.2,41.1,11.1,9.6
103021102,Allegheny,3,BALDWIN-WHITEHALL SD,8,All Students,289,51.2,32.2,11.1,5.5,288,56.6,31.3,7.3,4.9
103021102,Allegheny,3,BALDWIN-WHITEHALL SD,11,All Students,341,36.7,34.0,11.1,18.2,341,43.4,32.3,10.3,14.1
103021252,Allegheny,3,BETHEL PARK SD,3,All Students,320,56.9,32.5,8.4,2.2,320,39.7,49.7,5.3,5.3
103021252,Allegheny,3,BETHEL PARK SD,4,All Students,307,70.7,24.4,4.2,0.7,302,39.1,50.7,7.6,2.6
103021252,Allegheny,3,BETHEL PARK SD,5,All Students,295,70.8,20.3,7.1,1.7,288,45.8,39.9,8.3,5.9
103021252,Allegheny,3,BETHEL PARK SD,6,All Students,369,64.0,25.7,9.2,1.1,366,51.1,30.9,13.7,4.4
103021252,Allegheny,3,BETHEL PARK SD,7,All Students,330,67.0,25.2,6.4,1.5,328,48.5,42.1,7.0,2.4
103021252,Allegheny,3,BETHEL PARK SD,8,All Students,312,59.9,26.9,11.5,1.6,313,71.2,23.3,4.8,0.6
103021252,Allegheny,3,BETHEL PARK SD,11,All Students,413,31.0,41.2,17.9,9.9,415,46.3,37.6,10.4,5.8
