"AUN","County","IU","District Name","Grade","% Advanced/Proficient Math","% Advanced/Proficient Reading","Number Scored Math","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","Number Scored Reading","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD",11,69.3,74.7,423,39.7,29.6,14.2,16.5,423,45.4,29.3,11.6,13.7
103021252,"ALLEGHENY",3,"BETHEL PARK SD",3,94.0,87.0,362,69.0,25.0,4.0,1.0,363,45.0,42.0,9.0,4.0
103021252,"ALLEGHENY",3,"BETHEL PARK SD",5,86.8,84.7,347,59.1,27.7,10.1,3.2,347,34.3,50.4,10.1,5.2
103021252,"ALLEGHENY",3,"BETHEL PARK SD",8,82.4,78.6,369,52.6,29.8,11.4,6.2,369,47.7,30.9,11.9,9.5
103021252,"ALLEGHENY",3,"BETHEL PARK SD",11,71.7,79.7,424,41.0,30.7,14.2,14.2,424,43.9,35.8,10.8,9.4
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",3,87.0,88.0,83,65.0,22.0,11.0,2.0,83,40.0,48.0,6.0,6.0
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",5,84.0,81.9,94,46.8,37.2,13.8,2.1,94,40.4,41.5,12.8,5.3
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",8,60.7,68.4,117,24.8,35.9,17.9,21.4,117,34.2,34.2,14.5,17.1
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",11,59.5,75.8,116,25.0,34.5,17.2,23.3,116,42.2,33.6,12.9,11.2
103021603,"ALLEGHENY",3,"CARLYNTON SD",3,81.0,72.0,101,44.0,37.0,10.0,10.0,101,30.0,42.0,15.0,14.0
103021603,"ALLEGHENY",3,"CARLYNTON SD",5,43.1,54.1,109,17.4,25.7,33.9,22.9,109,11.9,42.2,19.3,26.6
103021603,"ALLEGHENY",3,"CARLYNTON SD",8,78.7,71.3,122,53.3,25.4,11.5,9.8,122,42.6,28.7,13.9,14.8
103021603,"ALLEGHENY",3,"CARLYNTON SD",11,61.2,78.4,134,35.1,26.1,17.9,20.9,134,53.0,25.4,11.2,10.4
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD",3,88.0,77.0,260,55.0,33.0,8.0,4.0,260,33.0,44.0,13.0,11.0
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD",5,75.8,75.9,228,41.2,34.6,19.7,4.4,228,29.8,46.1,13.2,11.0
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD",8,75.1,82.7,249,41.0,34.1,12.4,12.4,249,56.2,26.5,8.4,8.8
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD",11,60.5,75.8,240,36.7,23.8,15.8,23.8,240,35.0,40.8,10.4,13.8
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD",3,78.0,58.0,69,52.0,26.0,10.0,12.0,68,21.0,37.0,22.0,21.0
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD",5,30.9,30.9,68,11.8,19.1,38.2,30.9,68,4.4,26.5,29.4,39.7
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD",8,31.8,43.5,85,11.8,20.0,24.7,43.5,85,10.6,32.9,17.6,38.8
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD",11,15.3,32.2,59,6.8,8.5,25.4,59.3,59,5.1,27.1,22.0,45.8
103022103,"ALLEGHENY",3,"CORNELL SD",3,86.0,81.0,53,60.0,26.0,9.0,4.0,53,30.0,51.0,11.0,8.0
103022103,"ALLEGHENY",3,"CORNELL SD",5,64.4,52.1,73,37.0,27.4,20.5,15.1,73,5.5,46.6,19.2,28.8
103022103,"ALLEGHENY",3,"CORNELL SD",8,45.3,60.9,64,23.4,21.9,21.9,32.8,64,28.1,32.8,12.5,26.6
103022103,"ALLEGHENY",3,"CORNELL SD",11,32.4,43.2,37,16.2,16.2,32.4,35.1,37,29.7,13.5,27.0,29.7
103022253,"ALLEGHENY",3,"DEER LAKES SD",3,81.0,76.0,141,39.0,42.0,12.0,7.0,141,44.0,32.0,10.0,14.0
103022253,"ALLEGHENY",3,"DEER LAKES SD",5,86.2,83.4,145,46.9,39.3,11.0,2.8,145,39.3,44.1,11.7,4.8
103022253,"ALLEGHENY",3,"DEER LAKES SD",8,76.7,72.5,142,38.7,38.0,16.9,6.3,142,38.0,34.5,15.5,12.0
103022253,"ALLEGHENY",3,"DEER LAKES SD",11,55.6,69.6,171,35.1,20.5,17.0,27.5,171,38.6,31.0,8.8,21.6
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD",3,58.0,10.0,67,16.0,42.0,33.0,9.0,67,0.0,10.0,25.0,64.0
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD",5,31.6,23.7,57,5.3,26.3,43.9,24.6,55,5.5,18.2,16.4,60.0
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD",8,26.4,30.9,68,13.2,13.2,22.1,51.5,68,11.8,19.1,23.5,45.6
