"2006 PSSA District Level Results: % of Students at Each Performance Level (Full Academic Year)",,,,,,,,,,,,,,,,
"* Groups that have less than 10 students assessed are noted by an asterisk (*). Performance level totals may not add up to 100 due to rounding.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"AUN","County","IU","District Name","Grade","Number scored in Math","Math Advanced & Proficient","Math Advanced","Math Proficient","Math Basic","Math Below Basic","Number scored in Reading","Reading Advanced & Proficient","Reading Advanced","Reading Proficient","Reading Basic","Reading Below Basic"
112018523,"ADAMS",12,"UPPER ADAMS SD",7,148,61.5,29.1,32.4,15.5,23.0,148,64.9,25.7,39.2,14.2,20.9
112018523,"ADAMS",12,"UPPER ADAMS SD",8,149,68.4,41.6,26.8,16.8,14.8,149,67.8,39.6,28.2,14.8,17.4
112018523,"ADAMS",12,"UPPER ADAMS SD",11,139,62.6,32.4,30.2,17.3,20.1,139,66.2,35.3,30.9,19.4,14.4
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD",3,66,93.0,64.0,29.0,5.0,3.0,66,81.0,42.0,39.0,8.0,11.0
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD",4,79,81.0,48.1,32.9,8.9,10.1,79,72.1,36.7,35.4,13.9,13.9
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD",5,94,61.7,33.0,28.7,22.3,16.0,94,64.9,24.5,40.4,22.3,12.8
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD",6,89,74.2,50.6,23.6,18.0,7.9,89,80.9,42.7,38.2,12.4,6.7
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD",7,87,65.5,36.8,28.7,14.9,19.5,86,69.7,43.0,26.7,16.3,14.0
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD",8,112,76.8,46.4,30.4,8.9,14.3,112,77.7,47.3,30.4,10.7,11.6
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD",11,83,65.1,41.0,24.1,15.7,19.3,83,74.6,37.3,37.3,8.4,16.9
103020753,"ALLEGHENY",3,"AVONWORTH SD",3,85,95.0,86.0,9.0,2.0,2.0,85,91.0,53.0,38.0,6.0,4.0
103020753,"ALLEGHENY",3,"AVONWORTH SD",4,111,94.6,71.2,23.4,3.6,1.8,111,91.8,48.6,43.2,4.5,3.6
103020753,"ALLEGHENY",3,"AVONWORTH SD",5,90,86.7,55.6,31.1,10.0,3.3,89,78.6,38.2,40.4,14.6,6.7
103020753,"ALLEGHENY",3,"AVONWORTH SD",6,113,83.2,57.5,25.7,8.8,8.0,113,82.3,47.8,34.5,4.4,13.3
103020753,"ALLEGHENY",3,"AVONWORTH SD",7,100,79.0,46.0,33.0,10.0,11.0,100,77.0,39.0,38.0,14.0,9.0
103020753,"ALLEGHENY",3,"AVONWORTH SD",8,89,79.7,49.4,30.3,11.2,9.0,89,86.6,50.6,36.0,7.9,5.6
103020753,"ALLEGHENY",3,"AVONWORTH SD",11,89,64.1,41.6,22.5,14.6,21.3,89,71.9,34.8,37.1,12.4,15.7
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD",3,273,87.0,58.0,29.0,7.0,6.0,273,65.0,24.0,41.0,19.0,15.0
