"2006 PSSA District Level Results: % of Students at Each Performance Level (Full Academic Year)",,,,,,,,,,,,,,,,
"* Groups that have less than 10 students assessed are noted by an asterisk (*). Performance level totals may not add up to 100 due to rounding.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"AUN","County","IU","District Name","Grade","Number scored in Math","Math Advanced & Proficient","Math Advanced","Math Proficient","Math Basic","Math Below Basic","Number scored in Reading","Reading Advanced & Proficient","Reading Advanced","Reading Proficient","Reading Basic","Reading Below Basic"
122098003,"BUCKS",22,"PALISADES SD",7,175,78.8,45.7,33.1,12.6,8.6,174,83.9,44.8,39.1,10.3,5.7
122098003,"BUCKS",22,"PALISADES SD",8,164,78.0,51.2,26.8,15.9,6.1,164,85.4,55.5,29.9,9.1,5.5
122098003,"BUCKS",22,"PALISADES SD",11,174,64.3,37.9,26.4,21.8,13.8,174,77.6,37.9,39.7,13.8,8.6
122098103,"BUCKS",22,"PENNRIDGE SD",3,507,84.0,47.0,37.0,11.0,4.0,506,82.0,41.0,41.0,9.0,9.0
122098103,"BUCKS",22,"PENNRIDGE SD",4,527,84.6,48.4,36.2,9.7,5.7,527,82.0,37.8,44.2,10.6,7.4
122098103,"BUCKS",22,"PENNRIDGE SD",5,538,72.0,37.4,34.6,20.3,7.8,537,76.3,27.7,48.6,14.0,9.7
122098103,"BUCKS",22,"PENNRIDGE SD",6,522,79.9,46.0,33.9,12.6,7.5,520,79.8,45.2,34.6,13.8,6.3
122098103,"BUCKS",22,"PENNRIDGE SD",7,540,80.2,47.2,33.0,12.8,7.0,538,81.0,45.9,35.1,13.0,5.9
122098103,"BUCKS",22,"PENNRIDGE SD",8,615,72.9,41.5,31.4,17.9,9.3,615,83.2,59.0,24.2,8.0,8.8
122098103,"BUCKS",22,"PENNRIDGE SD",11,559,74.9,45.4,29.5,12.9,12.2,559,77.5,38.1,39.4,14.5,8.1
122098202,"BUCKS",22,"PENNSBURY SD",3,831,93.0,72.0,21.0,4.0,2.0,830,84.0,48.0,36.0,9.0,7.0
122098202,"BUCKS",22,"PENNSBURY SD",4,845,85.7,48.5,37.2,7.1,7.2,844,80.8,42.4,38.4,11.8,7.3
122098202,"BUCKS",22,"PENNSBURY SD",5,914,80.5,48.4,32.1,13.8,5.8,915,77.6,28.0,49.6,13.7,8.7
122098202,"BUCKS",22,"PENNSBURY SD",6,826,76.0,42.5,33.5,12.7,11.3,827,77.5,42.9,34.6,14.8,7.7
122098202,"BUCKS",22,"PENNSBURY SD",7,880,72.4,43.3,29.1,16.8,10.8,877,80.4,47.4,33.0,13.2,6.4
122098202,"BUCKS",22,"PENNSBURY SD",8,947,64.1,40.2,23.9,19.1,16.8,941,81.5,54.2,27.3,9.7,8.8
122098202,"BUCKS",22,"PENNSBURY SD",11,790,56.9,32.7,24.2,17.1,26.1,792,64.5,30.2,34.3,17.7,17.8
122098403,"BUCKS",22,"QUAKERTOWN COMMUNITY SD",3,398,91.0,72.0,19.0,7.0,2.0,397,83.0,48.0,35.0,9.0,9.0
122098403,"BUCKS",22,"QUAKERTOWN COMMUNITY SD",4,376,91.5,69.4,22.1,4.3,4.3,376,85.3,50.5,34.8,9.6,5.1
122098403,"BUCKS",22,"QUAKERTOWN COMMUNITY SD",5,441,80.0,57.1,22.9,12.7,7.3,439,71.1,26.7,44.4,14.8,14.1
122098403,"BUCKS",22,"QUAKERTOWN COMMUNITY SD",6,390,89.5,63.3,26.2,7.7,2.8,389,84.0,50.6,33.4,11.8,4.1
122098403,"BUCKS",22,"QUAKERTOWN COMMUNITY SD",7,422,86.5,68.0,18.5,8.5,5.0,422,82.7,53.3,29.4,11.4,5.9
122098403,"BUCKS",22,"QUAKERTOWN COMMUNITY SD",8,381,82.2,59.1,23.1,10.8,7.1,381,84.3,61.7,22.6,7.1,8.7
122098403,"BUCKS",22,"QUAKERTOWN COMMUNITY SD",11,445,64.2,33.9,30.3,19.1,16.6,445,74.6,41.6,33.0,13.7,11.7
104101252,"BUTLER",4,"BUTLER AREA SD",3,572,87.0,54.0,33.0,8.0,5.0,571,73.0,31.0,42.0,16.0,11.0
104101252,"BUTLER",4,"BUTLER AREA SD",4,591,85.0,47.9,37.1,7.1,8.0,588,74.2,28.6,45.6,15.6,10.2
104101252,"BUTLER",4,"BUTLER AREA SD",5,629,74.2,40.2,34.0,17.6,8.1,628,67.1,19.6,47.5,18.6,14.3
104101252,"BUTLER",4,"BUTLER AREA SD",6,581,79.9,50.1,29.8,13.3,6.9,581,75.9,39.1,36.8,17.6,6.5
104101252,"BUTLER",4,"BUTLER AREA SD",7,677,76.9,46.2,30.7,14.0,9.0,678,73.8,37.2,36.6,16.8,9.4
104101252,"BUTLER",4,"BUTLER AREA SD",8,638,75.0,42.2,32.8,15.5,9.6,636,78.6,48.4,30.2,10.8,10.5
104101252,"BUTLER",4,"BUTLER AREA SD",11,656,72.0,41.2,30.8,14.5,13.6,656,77.3,40.9,36.4,12.5,10.2
104103603,"BUTLER",4,"KARNS CITY AREA SD",3,125,90.0,74.0,16.0,10.0,0.0,125,81.0,42.0,39.0,13.0,6.0
104103603,"BUTLER",4,"KARNS CITY AREA SD",4,123,90.3,53.7,36.6,4.9,4.9,123,83.8,36.6,47.2,11.4,4.9
104103603,"BUTLER",4,"KARNS CITY AREA SD",5,112,79.5,48.2,31.3,14.3,6.3,111,66.6,21.6,45.0,18.0,15.3
104103603,"BUTLER",4,"KARNS CITY AREA SD",6,142,85.9,49.3,36.6,7.7,6.3,141,83.7,39.7,44.0,8.5,7.8
104103603,"BUTLER",4,"KARNS CITY AREA SD",7,163,61.4,38.7,22.7,27.0,11.7,164,70.1,31.1,39.0,22.6,7.3
104103603,"BUTLER",4,"KARNS CITY AREA SD",8,138,61.6,35.5,26.1,23.2,15.2,137,84.7,55.5,29.2,6.6,8.8
104103603,"BUTLER",4,"KARNS CITY AREA SD",11,116,51.7,22.4,29.3,20.7,27.6,116,64.6,28.4,36.2,22.4,12.9
104105003,"BUTLER",4,"MARS AREA SD",3,203,94.0,66.0,28.0,5.0,1.0,202,84.0,43.0,41.0,12.0,4.0
104105003,"BUTLER",4,"MARS AREA SD",4,216,95.8,63.9,31.9,3.7,0.5,216,85.2,39.8,45.4,10.2,4.6
104105003,"BUTLER",4,"MARS AREA SD",5,222,72.0,41.4,30.6,21.6,6.3,221,69.2,25.8,43.4,20.4,10.4
104105003,"BUTLER",4,"MARS AREA SD",6,201,88.5,58.2,30.3,7.5,4.0,201,82.6,42.8,39.8,13.4,4.0
104105003,"BUTLER",4,"MARS AREA SD",7,249,87.5,58.2,29.3,6.8,5.6,249,84.0,42.6,41.4,9.2,6.8
104105003,"BUTLER",4,"MARS AREA SD",8,203,76.4,46.8,29.6,17.7,5.9,203,85.7,59.1,26.6,9.4,4.9
104105003,"BUTLER",4,"MARS AREA SD",11,217,59.4,28.1,31.3,19.8,20.7,217,76.0,41.0,35.0,16.1,7.8
104105353,"BUTLER",4,"MONITEAU SD",3,97,93.0,68.0,25.0,5.0,2.0,96,89.0,43.0,46.0,4.0,7.0
104105353,"BUTLER",4,"MONITEAU SD",4,120,80.8,48.3,32.5,13.3,5.8,120,68.3,30.8,37.5,20.0,11.7
104105353,"BUTLER",4,"MONITEAU SD",5,152,64.5,26.3,38.2,23.0,12.5,152,56.0,13.2,42.8,22.4,21.7
104105353,"BUTLER",4,"MONITEAU SD",6,127,80.3,32.3,48.0,13.4,6.3,127,65.3,29.9,35.4,22.0,12.6
104105353,"BUTLER",4,"MONITEAU SD",7,129,60.5,19.4,41.1,21.7,17.8,129,71.3,31.0,40.3,20.2,8.5
104105353,"BUTLER",4,"MONITEAU SD",8,137,65.7,29.2,36.5,23.4,10.9,137,73.7,47.4,26.3,14.6,11.7
104105353,"BUTLER",4,"MONITEAU SD",11,133,38.4,17.3,21.1,15.8,45.9,133,60.2,27.1,33.1,20.3,19.5
104107903,"BUTLER",4,"SENECA VALLEY SD",3,595,95.0,71.0,24.0,5.0,1.0,594,82.0,41.0,41.0,12.0,6.0
104107903,"BUTLER",4,"SENECA VALLEY SD",4,564,86.7,46.6,40.1,8.2,5.1,564,82.6,38.1,44.5,10.1,7.3
104107903,"BUTLER",4,"SENECA VALLEY SD",5,565,65.5,33.3,32.2,25.1,9.4,565,70.8,25.5,45.3,16.1,13.1
104107903,"BUTLER",4,"SENECA VALLEY SD",6,583,76.7,41.0,35.7,16.1,7.2,583,80.3,47.2,33.1,13.7,6.0
104107903,"BUTLER",4,"SENECA VALLEY SD",7,634,79.2,45.9,33.3,13.6,7.3,633,86.7,53.2,33.5,9.2,4.1
104107903,"BUTLER",4,"SENECA VALLEY SD",8,546,70.9,43.4,27.5,20.0,9.2,546,88.8,63.7,25.1,6.2,4.9
104107903,"BUTLER",4,"SENECA VALLEY SD",11,549,64.1,39.0,25.1,18.0,17.9,549,79.6,42.8,36.8,11.3,9.1
104107503,"BUTLER",4,"SLIPPERY ROCK AREA SD",3,167,92.0,55.0,37.0,4.0,4.0,167,76.0,38.0,38.0,13.0,11.0
104107503,"BUTLER",4,"SLIPPERY ROCK AREA SD",4,157,86.7,58.0,28.7,8.9,4.5,157,78.9,36.9,42.0,12.7,8.3
104107503,"BUTLER",4,"SLIPPERY ROCK AREA SD",5,192,80.8,46.9,33.9,13.0,6.3,192,64.6,20.8,43.8,22.4,13.0
104107503,"BUTLER",4,"SLIPPERY ROCK AREA SD",6,206,69.0,40.8,28.2,19.9,11.2,206,69.4,30.1,39.3,17.5,13.1
104107503,"BUTLER",4,"SLIPPERY ROCK AREA SD",7,196,71.4,39.3,32.1,14.8,13.8,195,71.8,37.4,34.4,13.8,14.4
104107503,"BUTLER",4,"SLIPPERY ROCK AREA SD",8,202,79.3,55.0,24.3,9.9,10.9,202,78.7,51.0,27.7,9.4,11.9
104107503,"BUTLER",4,"SLIPPERY ROCK AREA SD",11,205,55.1,26.3,28.8,23.4,21.5,205,73.6,30.2,43.4,17.1,9.3
104107803,"BUTLER",4,"SOUTH BUTLER COUNTY SD",3,191,87.0,57.0,30.0,11.0,2.0,191,72.0,34.0,38.0,15.0,13.0
104107803,"BUTLER",4,"SOUTH BUTLER COUNTY SD",4,195,92.9,70.8,22.1,6.2,1.0,193,88.6,46.6,42.0,6.7,4.7
104107803,"BUTLER",4,"SOUTH BUTLER COUNTY SD",5,218,78.0,39.0,39.0,16.1,6.0,217,71.4,27.6,43.8,19.4,9.2
104107803,"BUTLER",4,"SOUTH BUTLER COUNTY SD",6,193,83.9,52.3,31.6,13.0,3.1,192,79.7,46.9,32.8,13.5,6.8
104107803,"BUTLER",4,"SOUTH BUTLER COUNTY SD",7,211,75.4,46.0,29.4,14.2,10.4,211,75.4,38.4,37.0,14.2,10.4
104107803,"BUTLER",4,"SOUTH BUTLER COUNTY SD",8,257,79.4,45.5,33.9,13.2,7.4,257,80.2,50.2,30.0,11.3,8.6
104107803,"BUTLER",4,"SOUTH BUTLER COUNTY SD",11,230,57.0,31.3,25.7,19.6,23.5,230,73.9,37.8,36.1,16.5,9.6
108110603,"CAMBRIA",8,"BLACKLICK VALLEY SD",3,39,82.0,49.0,33.0,10.0,8.0,39,66.0,28.0,38.0,15.0,18.0
108110603,"CAMBRIA",8,"BLACKLICK VALLEY SD",4,50,78.0,32.0,46.0,14.0,8.0,50,74.0,26.0,48.0,14.0,12.0
108110603,"CAMBRIA",8,"BLACKLICK VALLEY SD",5,60,63.3,35.0,28.3,33.3,3.3,60,56.7,10.0,46.7,25.0,18.3
108110603,"CAMBRIA",8,"BLACKLICK VALLEY SD",6,48,75.0,54.2,20.8,18.8,6.3,48,64.6,27.1,37.5,29.2,6.3
108110603,"CAMBRIA",8,"BLACKLICK VALLEY SD",7,49,63.3,34.7,28.6,10.2,26.5,49,67.3,22.4,44.9,10.2,22.4
108110603,"CAMBRIA",8,"BLACKLICK VALLEY SD",8,65,55.4,32.3,23.1,23.1,21.5,65,66.1,41.5,24.6,16.9,16.9
108110603,"CAMBRIA",8,"BLACKLICK VALLEY SD",11,51,51.0,35.3,15.7,23.5,25.5,51,62.7,33.3,29.4,21.6,15.7
108111203,"CAMBRIA",8,"CAMBRIA HEIGHTS SD",3,89,93.0,75.0,18.0,6.0,1.0,88,82.0,34.0,48.0,10.0,8.0
108111203,"CAMBRIA",8,"CAMBRIA HEIGHTS SD",4,111,82.8,49.5,33.3,8.1,9.0,110,74.5,21.8,52.7,16.4,9.1
108111203,"CAMBRIA",8,"CAMBRIA HEIGHTS SD",5,131,71.0,33.6,37.4,21.4,7.6,131,59.6,17.6,42.0,21.4,19.1
108111203,"CAMBRIA",8,"CAMBRIA HEIGHTS SD",6,105,69.5,25.7,43.8,20.0,10.5,104,77.0,46.2,30.8,14.4,8.7
108111203,"CAMBRIA",8,"CAMBRIA HEIGHTS SD",7,125,79.2,36.8,42.4,18.4,2.4,125,87.2,50.4,36.8,11.2,1.6
108111203,"CAMBRIA",8,"CAMBRIA HEIGHTS SD",8,125,69.6,36.8,32.8,17.6,12.8,125,80.0,56.0,24.0,7.2,12.8
108111203,"CAMBRIA",8,"CAMBRIA HEIGHTS SD",11,124,66.9,37.1,29.8,11.3,21.8,124,75.0,42.7,32.3,9.7,15.3
108111303,"CAMBRIA",8,"CENTRAL CAMBRIA SD",3,115,88.0,64.0,24.0,6.0,5.0,115,81.0,41.0,40.0,11.0,8.0
108111303,"CAMBRIA",8,"CENTRAL CAMBRIA SD",4,125,76.8,40.8,36.0,12.8,10.4,125,74.4,33.6,40.8,12.8,12.8
108111303,"CAMBRIA",8,"CENTRAL CAMBRIA SD",5,135,77.1,51.9,25.2,11.9,11.1,135,72.6,23.7,48.9,12.6,14.8
108111303,"CAMBRIA",8,"CENTRAL CAMBRIA SD",6,148,68.9,39.2,29.7,22.3,8.8,148,66.9,27.0,39.9,22.3,10.8
108111303,"CAMBRIA",8,"CENTRAL CAMBRIA SD",7,138,72.5,34.1,38.4,12.3,15.2,138,66.0,25.4,40.6,23.9,10.1
108111303,"CAMBRIA",8,"CENTRAL CAMBRIA SD",8,132,67.4,43.2,24.2,15.9,16.7,132,74.3,37.9,36.4,13.6,12.1
108111303,"CAMBRIA",8,"CENTRAL CAMBRIA SD",11,157,59.9,22.3,37.6,23.6,16.6,157,76.4,34.4,42.0,12.1,11.5
108111403,"CAMBRIA",8,"CONEMAUGH VALLEY SD",3,62,100.0,74.0,26.0,0.0,0.0,62,89.0,47.0,42.0,6.0,5.0
108111403,"CAMBRIA",8,"CONEMAUGH VALLEY SD",4,71,74.6,35.2,39.4,7.0,18.3,71,60.5,19.7,40.8,22.5,16.9
108111403,"CAMBRIA",8,"CONEMAUGH VALLEY SD",5,71,69.0,33.8,35.2,18.3,12.7,71,69.0,23.9,45.1,12.7,18.3
108111403,"CAMBRIA",8,"CONEMAUGH VALLEY SD",6,74,90.6,73.0,17.6,6.8,2.7,74,79.7,50.0,29.7,17.6,2.7
108111403,"CAMBRIA",8,"CONEMAUGH VALLEY SD",7,60,86.7,61.7,25.0,10.0,3.3,60,78.3,28.3,50.0,16.7,5.0
108111403,"CAMBRIA",8,"CONEMAUGH VALLEY SD",8,79,67.1,40.5,26.6,19.0,13.9,79,68.4,38.0,30.4,19.0,12.7
108111403,"CAMBRIA",8,"CONEMAUGH VALLEY SD",11,75,48.0,22.7,25.3,29.3,22.7,75,58.7,18.7,40.0,26.7,14.7
108112003,"CAMBRIA",8,"FERNDALE AREA SD",3,49,91.0,69.0,22.0,8.0,0.0,49,88.0,45.0,43.0,8.0,4.0
108112003,"CAMBRIA",8,"FERNDALE AREA SD",4,54,83.4,55.6,27.8,9.3,7.4,54,70.4,18.5,51.9,18.5,11.1
108112003,"CAMBRIA",8,"FERNDALE AREA SD",5,67,70.2,40.3,29.9,17.9,11.9,67,68.7,19.4,49.3,14.9,16.4
108112003,"CAMBRIA",8,"FERNDALE AREA SD",6,70,60.0,22.9,37.1,20.0,20.0,70,62.8,27.1,35.7,25.7,11.4
108112003,"CAMBRIA",8,"FERNDALE AREA SD",7,64,78.2,34.4,43.8,12.5,9.4,64,73.5,31.3,42.2,18.8,7.8
108112003,"CAMBRIA",8,"FERNDALE AREA SD",8,62,62.9,30.6,32.3,24.2,12.9,62,62.9,37.1,25.8,21.0,16.1
108112003,"CAMBRIA",8,"FERNDALE AREA SD",11,53,62.3,18.9,43.4,22.6,15.1,53,66.1,32.1,34.0,22.6,11.3
108112203,"CAMBRIA",8,"FOREST HILLS SD",3,136,89.0,71.0,18.0,10.0,1.0,136,74.0,39.0,35.0,14.0,13.0
108112203,"CAMBRIA",8,"FOREST HILLS SD",4,155,83.2,38.7,44.5,11.0,5.8,155,77.4,30.3,47.1,14.2,8.4
108112203,"CAMBRIA",8,"FOREST HILLS SD",5,173,72.9,35.3,37.6,23.7,3.5,173,59.6,16.8,42.8,20.2,20.2
108112203,"CAMBRIA",8,"FOREST HILLS SD",6,168,74.4,42.9,31.5,18.5,7.1,168,81.5,46.4,35.1,10.1,8.3
108112203,"CAMBRIA",8,"FOREST HILLS SD",7,184,62.0,22.3,39.7,24.5,13.6,184,73.9,33.7,40.2,17.4,8.7
108112203,"CAMBRIA",8,"FOREST HILLS SD",8,182,57.1,30.2,26.9,21.4,21.4,182,73.1,43.4,29.7,11.0,15.9
108112203,"CAMBRIA",8,"FOREST HILLS SD",11,192,39.1,20.3,18.8,25.0,35.9,192,66.2,26.6,39.6,15.1,18.8
108112502,"CAMBRIA",8,"GREATER JOHNSTOWN SD",3,195,69.0,40.0,29.0,15.0,16.0,194,52.0,18.0,34.0,16.0,32.0
108112502,"CAMBRIA",8,"GREATER JOHNSTOWN SD",4,205,61.4,19.0,42.4,16.1,22.4,205,60.0,20.5,39.5,18.0,22.0
108112502,"CAMBRIA",8,"GREATER JOHNSTOWN SD",5,231,42.0,15.6,26.4,28.1,29.9,229,44.5,10.0,34.5,21.4,34.1
108112502,"CAMBRIA",8,"GREATER JOHNSTOWN SD",6,215,43.3,13.5,29.8,24.7,32.1,214,42.5,13.1,29.4,26.6,30.8
108112502,"CAMBRIA",8,"GREATER JOHNSTOWN SD",7,212,37.8,13.7,24.1,22.6,39.6,212,43.4,13.7,29.7,28.8,27.8
108112502,"CAMBRIA",8,"GREATER JOHNSTOWN SD",8,243,60.0,33.7,26.3,16.5,23.5,239,51.8,25.9,25.9,19.2,28.9
108112502,"CAMBRIA",8,"GREATER JOHNSTOWN SD",11,220,30.0,8.6,21.4,23.6,46.4,221,43.5,13.6,29.9,28.5,28.1
108114503,"CAMBRIA",8,"NORTHERN CAMBRIA SD",3,98,93.0,71.0,22.0,3.0,3.0,98,80.0,39.0,41.0,9.0,11.0
108114503,"CAMBRIA",8,"NORTHERN CAMBRIA SD",4,91,74.8,28.6,46.2,16.5,8.8,91,79.1,23.1,56.0,13.2,7.7
108114503,"CAMBRIA",8,"NORTHERN CAMBRIA SD",5,84,65.5,38.1,27.4,23.8,10.7,84,53.6,15.5,38.1,21.4,25.0
108114503,"CAMBRIA",8,"NORTHERN CAMBRIA SD",6,89,75.3,43.8,31.5,13.5,11.2,89,60.6,20.2,40.4,18.0,21.3
108114503,"CAMBRIA",8,"NORTHERN CAMBRIA SD",7,98,78.6,54.1,24.5,11.2,10.2,98,69.4,34.7,34.7,17.3,13.3
108114503,"CAMBRIA",8,"NORTHERN CAMBRIA SD",8,110,72.7,52.7,20.0,15.5,11.8,110,76.4,46.4,30.0,10.9,12.7
108114503,"CAMBRIA",8,"NORTHERN CAMBRIA SD",11,97,53.6,24.7,28.9,20.6,25.8,96,56.2,15.6,40.6,25.0,18.8
108116003,"CAMBRIA",8,"PENN CAMBRIA SD",3,98,95.0,62.0,33.0,4.0,1.0,98,80.0,40.0,40.0,11.0,9.0
108116003,"CAMBRIA",8,"PENN CAMBRIA SD",4,129,69.8,29.5,40.3,14.0,16.3,129,72.8,20.9,51.9,16.3,10.9
108116003,"CAMBRIA",8,"PENN CAMBRIA SD",5,137,43.8,19.0,24.8,27.0,29.2,136,56.7,19.9,36.8,19.9,23.5
108116003,"CAMBRIA",8,"PENN CAMBRIA SD",6,105,72.4,31.4,41.0,12.4,15.2,104,58.6,19.2,39.4,27.9,13.5
108116003,"CAMBRIA",8,"PENN CAMBRIA SD",7,110,80.9,41.8,39.1,10.0,9.1,110,78.2,29.1,49.1,14.5,7.3
108116003,"CAMBRIA",8,"PENN CAMBRIA SD",8,141,63.8,39.0,24.8,24.8,11.3,141,73.0,41.8,31.2,14.2,12.8
108116003,"CAMBRIA",8,"PENN CAMBRIA SD",11,143,51.8,26.6,25.2,21.0,27.3,143,66.5,30.1,36.4,18.2,15.4
108116303,"CAMBRIA",8,"PORTAGE AREA SD",3,64,91.0,72.0,19.0,5.0,5.0,64,70.0,34.0,36.0,9.0,20.0
108116303,"CAMBRIA",8,"PORTAGE AREA SD",4,67,83.6,29.9,53.7,10.4,6.0,67,70.1,34.3,35.8,19.4,10.4
108116303,"CAMBRIA",8,"PORTAGE AREA SD",5,64,59.4,20.3,39.1,29.7,10.9,64,67.2,26.6,40.6,15.6,17.2
108116303,"CAMBRIA",8,"PORTAGE AREA SD",6,84,58.4,27.4,31.0,26.2,15.5,83,66.2,31.3,34.9,19.3,14.5
108116303,"CAMBRIA",8,"PORTAGE AREA SD",7,62,79.0,41.9,37.1,12.9,8.1,62,82.3,33.9,48.4,8.1,9.7
108116303,"CAMBRIA",8,"PORTAGE AREA SD",8,73,54.8,30.1,24.7,24.7,20.5,73,71.2,35.6,35.6,11.0,17.8
108116303,"CAMBRIA",8,"PORTAGE AREA SD",11,89,58.4,28.1,30.3,13.5,28.1,89,74.2,36.0,38.2,11.2,14.6
108116503,"CAMBRIA",8,"RICHLAND SD",3,113,94.0,75.0,19.0,4.0,2.0,113,84.0,49.0,35.0,12.0,5.0
108116503,"CAMBRIA",8,"RICHLAND SD",4,131,91.6,65.6,26.0,3.1,5.3,131,84.7,48.1,36.6,8.4,6.9
108116503,"CAMBRIA",8,"RICHLAND SD",5,89,87.6,66.3,21.3,11.2,1.1,89,87.6,40.4,47.2,5.6,6.7
108116503,"CAMBRIA",8,"RICHLAND SD",6,122,78.7,48.4,30.3,9.8,11.5,122,75.4,40.2,35.2,13.9,10.7
108116503,"CAMBRIA",8,"RICHLAND SD",7,129,90.7,68.2,22.5,5.4,3.9,129,86.0,55.0,31.0,11.6,2.3
108116503,"CAMBRIA",8,"RICHLAND SD",8,137,81.7,49.6,32.1,8.8,9.5,137,84.7,62.8,21.9,9.5,5.8
108116503,"CAMBRIA",8,"RICHLAND SD",11,121,63.7,27.3,36.4,20.7,15.7,121,85.9,42.1,43.8,6.6,7.4
108118503,"CAMBRIA",8,"WESTMONT HILLTOP SD",3,118,91.0,69.0,22.0,7.0,3.0,117,74.0,31.0,43.0,18.0,9.0
108118503,"CAMBRIA",8,"WESTMONT HILLTOP SD",4,145,89.0,66.2,22.8,6.2,4.8,145,83.4,33.1,50.3,9.7,6.9
108118503,"CAMBRIA",8,"WESTMONT HILLTOP SD",5,115,75.6,42.6,33.0,20.0,4.3,115,76.6,27.0,49.6,12.2,11.3
108118503,"CAMBRIA",8,"WESTMONT HILLTOP SD",6,137,78.1,47.4,30.7,14.6,7.3,137,75.2,36.5,38.7,13.9,10.9
108118503,"CAMBRIA",8,"WESTMONT HILLTOP SD",7,127,93.0,65.4,27.6,5.5,1.6,127,85.0,50.4,34.6,11.8,3.1
108118503,"CAMBRIA",8,"WESTMONT HILLTOP SD",8,116,81.9,50.0,31.9,16.4,1.7,116,90.5,59.5,31.0,6.9,2.6
108118503,"CAMBRIA",8,"WESTMONT HILLTOP SD",11,151,70.2,35.8,34.4,15.2,14.6,151,78.2,37.1,41.1,15.2,6.6
109122703,"CAMERON",9,"CAMERON COUNTY SD",3,52,87.0,62.0,25.0,10.0,4.0,52,60.0,31.0,29.0,19.0,21.0
109122703,"CAMERON",9,"CAMERON COUNTY SD",4,58,79.3,34.5,44.8,5.2,15.5,58,72.4,12.1,60.3,10.3,17.2
109122703,"CAMERON",9,"CAMERON COUNTY SD",5,77,54.6,26.0,28.6,24.7,20.8,76,51.4,13.2,38.2,25.0,23.7
109122703,"CAMERON",9,"CAMERON COUNTY SD",6,59,72.9,30.5,42.4,18.6,8.5,59,64.4,20.3,44.1,27.1,8.5
109122703,"CAMERON",9,"CAMERON COUNTY SD",7,76,61.8,36.8,25.0,27.6,10.5,76,76.4,38.2,38.2,10.5,13.2
109122703,"CAMERON",9,"CAMERON COUNTY SD",8,72,73.6,38.9,34.7,15.3,11.1,72,84.7,50.0,34.7,8.3,6.9
109122703,"CAMERON",9,"CAMERON COUNTY SD",11,66,50.0,15.2,34.8,25.8,24.2,66,71.2,33.3,37.9,19.7,9.1
121135003,"CARBON",21,"JIM THORPE AREA SD",3,135,87.0,48.0,39.0,10.0,3.0,135,68.0,21.0,47.0,19.0,13.0
121135003,"CARBON",21,"JIM THORPE AREA SD",4,145,79.3,31.7,47.6,9.7,11.0,145,67.5,24.1,43.4,17.2,15.2
121135003,"CARBON",21,"JIM THORPE AREA SD",5,129,65.9,24.8,41.1,27.1,7.0,129,51.2,9.3,41.9,27.1,21.7
121135003,"CARBON",21,"JIM THORPE AREA SD",6,141,61.7,18.4,43.3,29.8,8.5,141,61.7,18.4,43.3,27.0,11.3
121135003,"CARBON",21,"JIM THORPE AREA SD",7,181,56.4,23.8,32.6,21.0,22.7,181,63.0,25.4,37.6,21.0,16.0
121135003,"CARBON",21,"JIM THORPE AREA SD",8,163,50.3,24.5,25.8,27.6,22.1,165,71.0,35.8,35.2,17.6,11.5
121135003,"CARBON",21,"JIM THORPE AREA SD",11,120,50.0,20.0,30.0,21.7,28.3,119,68.9,31.9,37.0,14.3,16.8
121135503,"CARBON",21,"LEHIGHTON AREA SD",3,169,85.0,47.0,38.0,10.0,5.0,169,67.0,23.0,44.0,18.0,15.0
121135503,"CARBON",21,"LEHIGHTON AREA SD",4,177,76.2,31.6,44.6,11.3,12.4,174,65.5,25.3,40.2,22.4,12.1
121135503,"CARBON",21,"LEHIGHTON AREA SD",5,161,60.3,23.0,37.3,29.8,9.9,161,54.0,11.8,42.2,26.7,19.3
121135503,"CARBON",21,"LEHIGHTON AREA SD",6,200,75.5,36.0,39.5,18.0,6.5,200,61.5,24.0,37.5,22.5,16.0
121135503,"CARBON",21,"LEHIGHTON AREA SD",7,155,65.2,29.7,35.5,19.4,15.5,155,68.4,30.3,38.1,16.8,14.8
121135503,"CARBON",21,"LEHIGHTON AREA SD",8,200,70.0,42.0,28.0,14.5,15.5,200,73.0,45.0,28.0,12.0,15.0
121135503,"CARBON",21,"LEHIGHTON AREA SD",11,187,41.7,26.7,15.0,26.7,31.6,187,59.9,25.7,34.2,20.3,19.8
121136503,"CARBON",21,"PALMERTON AREA SD",3,165,97.0,80.0,17.0,3.0,0.0,165,84.0,41.0,43.0,13.0,2.0
121136503,"CARBON",21,"PALMERTON AREA SD",4,152,84.3,46.1,38.2,5.9,9.9,152,72.4,28.3,44.1,15.1,12.5
121136503,"CARBON",21,"PALMERTON AREA SD",5,146,72.6,27.4,45.2,20.5,6.8,146,62.3,17.8,44.5,24.7,13.0
121136503,"CARBON",21,"PALMERTON AREA SD",6,175,87.5,60.6,26.9,7.4,5.1,174,77.1,35.1,42.0,14.4,8.6
121136503,"CARBON",21,"PALMERTON AREA SD",7,166,52.4,22.3,30.1,29.5,18.1,165,70.9,33.9,37.0,18.8,10.3
121136503,"CARBON",21,"PALMERTON AREA SD",8,160,51.9,23.8,28.1,32.5,15.6,160,76.3,47.5,28.8,15.0,8.8
121136503,"CARBON",21,"PALMERTON AREA SD",11,133,56.4,28.6,27.8,18.8,24.8,133,63.9,31.6,32.3,23.3,12.8
